stem	boards	size	ptsNoneOpened	youCompletion	topQCompletion	frontierCompletion	uncontestedPerGame
URES	141	4.3759	405600	0.38152	0.3625	0.3871	235.68
LIER	173	4.4393	401800	0.37059	0.47761	0.4283	233.47
HERS	141	4.539	399400	0.4158	0.44186	0.47458	232.07
DATE	155	4.5677	395600	0.54386	0.65487	0.59844	229.87
ERED	140	5.0071	392400	0.28638	0.29897	0.27816	228.01
OUTS	88	6.4318	391800	0.37355	0.43548	0.44358	227.66
TENT	144	4.8403	390600	0.42647	0.43182	0.46008	226.96
REAL	216	3.8565	389000	0.44904	0.432	0.47727	226.03
ENES	140	5.0714	386800	0.34423	0.36986	0.35805	224.75
STING	71	7.493	386000	0.49195	0.59016	0.54032	224.29
EAST	265	4.1925	382200	0.55287	0.59821	0.63992	222.08
TAIN	207	4.4589	375400	0.59756	0.62658	0.6535	218.13
REES	181	4.7569	375200	0.44842	0.3886	0.47587	218.01
TILE	148	5.3851	370800	0.56162	0.57216	0.63356	215.46
TEAR	313	3.7827	368000	0.66742	0.61009	0.71863	213.83
AMIN	93	7.6989	360000	0.32028	0.41964	0.44469	209.18
ANCE	73	8.2192	359000	0.40166	0.33333	0.41814	208.6
SHIN	95	6.1579	357600	0.46353	0.54545	0.53024	207.79
IONS	113	4.5752	357400	0.24359	0.19512	0.24632	207.67
PINE	76	6.1447	352200	0.3406	0.45045	0.41176	204.65
SILE	158	4.7152	349800	0.45594	0.49612	0.528	203.25
PARE	120	5.2583	348600	0.42886	0.51754	0.49916	202.56
SALT	124	4.8145	348200	0.4633	0.45918	0.52842	202.32
GERS	103	6.301	347000	0.42463	0.46259	0.48007	201.63
SERS	167	4.3174	342200	0.43503	0.48855	0.5136	198.84
SIDE	146	4.4863	338400	0.57595	0.4902	0.54237	196.63
PART	81	5.8642	331600	0.42183	0.3587	0.47936	192.68
HERE	106	5.5849	328200	0.47507	0.51316	0.49776	190.7
AILS	108	6.0278	328200	0.51938	0.42197	0.54886	190.7
SENT	241	3.3029	326200	0.54147	0.68293	0.58262	189.54
ACHE	64	8.5625	326000	0.44968	0.52083	0.50103	189.42
ABLE	50	11.24	325400	0.32258	0.38571	0.41515	189.08
TARE	325	3.6031	323800	0.6777	0.63677	0.73213	188.15
ROTE	210	3.081	321600	0.55867	0.67176	0.59815	186.87
STEN	296	3.6014	318800	0.51429	0.48421	0.52234	185.24
RAIS	188	4.0957	318800	0.5884	0.49451	0.57447	185.24
MING	50	7.74	313000	0.35401	0.48837	0.42978	181.87
CHER	62	7.1452	313000	0.29344	0.40476	0.34682	181.87
HEAR	145	5.6828	313000	0.62406	0.61765	0.66312	181.87
RITES	132	2.8788	312200	0.38182	0.43077	0.42249	181.41
LANE	161	4.1056	310600	0.45014	0.48148	0.50996	180.48
HEAT	117	4.3419	309800	0.49724	0.56098	0.54048	180.01
SATE	277	2.9025	308600	0.5468	0.61702	0.5852	179.31
LAND	71	6.9155	304000	0.46483	0.5283	0.51485	176.64
RINS	179	4.0503	300000	0.54853	0.3876	0.55401	174.32
RASE	271	3.69	298400	0.52159	0.61039	0.58065	173.39
RINGS	65	5	297800	0.36759	0.4486	0.46667	173.04
AMES	126	5.1349	297600	0.40309	0.50407	0.48553	172.92
TALE	177	4.6497	297400	0.6028	0.65068	0.67949	172.81
CHAR	66	7.803	296800	0.51005	0.58929	0.55508	172.46
RODE	139	4.3165	292400	0.4966	0.51579	0.5362	169.9
VERS	46	8.4565	291000	0.29276	0.25	0.32537	169.09
GATE	105	4.819	288800	0.51175	0.59302	0.57627	167.81
SOLE	127	4.5276	288400	0.4795	0.49333	0.52834	167.58
LENT	121	4.6529	288000	0.23585	0.39024	0.30816	167.34
CARE	168	4.8095	288000	0.61377	0.59441	0.67979	167.34
CATE	124	4.1935	287400	0.59064	0.59783	0.62946	167
SANT	141	3.7234	284200	0.37895	0.53704	0.42433	165.14
TARS	223	3.1928	281600	0.315	0.32911	0.3518	163.63
ESTS	145	4.7517	280600	0.4538	0.51515	0.48903	163.04
SITE	224	2.9509	278400	0.61772	0.54128	0.64559	161.77
TRON	164	4.7744	277200	0.47619	0.56842	0.51936	161.07
OVER	38	9.1842	276800	0.37736	0.375	0.4396	160.84
LINT	109	4.6972	275600	0.44379	0.56338	0.48951	160.14
SORE	221	3.6923	272800	0.52807	0.5873	0.5807	158.51
RAGE	87	4.7011	272600	0.46875	0.41071	0.52557	158.4
TRES	316	3.1234	271200	0.3881	0.41	0.42545	157.58
RINES	113	3.3451	270400	0.50853	0.48718	0.54023	157.12
CART	125	5.424	270200	0.59259	0.60169	0.64725	157
TINS	141	3.2057	269400	0.37736	0.34921	0.36972	156.54
ESTER	153	3.9346	268000	0.39474	0.5514	0.56608	155.72
EATH	136	4.7206	267600	0.34091	0.58537	0.37602	155.49
DEAR	177	4.0847	267400	0.62037	0.65909	0.66352	155.37
TAIL	126	4.1984	267400	0.60891	0.63115	0.64135	155.37
AIRS	172	3.8198	267000	0.4768	0.5	0.516	155.14
TINES	87	2.9885	266400	0.35057	0.46667	0.42667	154.79
ANTI	161	5.0683	266000	0.2243	0.38806	0.33208	154.56
ARIS	222	4.982	265800	0.41176	0.35849	0.43622	154.45
LANT	121	4.2562	265600	0.42164	0.39189	0.49072	154.33
ARET	338	3.4112	264600	0.65644	0.57609	0.67712	153.75
LAST	165	3.8727	263200	0.63617	0.64	0.68085	152.93
RADE	128	4.3203	262800	0.44385	0.4031	0.49431	152.7
SCAR	92	5.9674	260600	0.51771	0.60465	0.55342	151.42
STONE	94	4.2021	260600	0.5022	0.53659	0.56211	151.42
EARN	181	3.9227	260400	0.56109	0.61017	0.57985	151.31
AGER	105	5.5143	259600	0.50104	0.50926	0.54113	150.84
FORE	60	5.1	259600	0.4213	0.38636	0.43346	150.84
SPIN	51	6.2353	256600	0.3662	0.4386	0.39298	149.1
TIME	94	5.0106	256400	0.48844	0.50575	0.54208	148.98
MIST	92	4.2283	256000	0.47391	0.45833	0.51133	148.75
TART	137	4.3285	255800	0.52286	0.50649	0.59039	148.63
ODES	145	3.9655	255400	0.42283	0.58242	0.49902	148.4
MAIN	93	4.4194	254400	0.42705	0.51852	0.50755	147.82
SPAR	68	5.9118	254000	0.45545	0.46154	0.50992	147.59
ROST	164	3.5793	253600	0.56313	0.64384	0.57233	147.36
TONS	125	3.28	253200	0.2953	0.23333	0.3234	147.12
NETS	195	2.8718	252000	0.39196	0.47692	0.4021	146.43
LINES	84	3.3571	251600	0.46354	0.52	0.52809	146.19
HORE	99	4.5556	251400	0.4704	0.47945	0.50263	146.08
EALE	110	5.2727	249600	0.40148	0.43262	0.45363	145.03
ARTI	212	4.3396	249000	0.35227	0.45455	0.44857	144.68
RACE	126	4.873	247800	0.63158	0.64835	0.68794	143.99
TEND	148	3.75	247600	0.56376	0.54878	0.58353	143.87
RAND	103	4.3981	247000	0.45353	0.43333	0.48	143.52
RIAL	145	4.3586	246200	0.48457	0.43333	0.50418	143.06
SORT	163	4.1595	245400	0.58268	0.51389	0.60996	142.59
PING	38	8.5526	242600	0.35816	0.4058	0.4129	140.96
NAIL	116	4.7328	242400	0.57692	0.63095	0.61982	140.85
HORS	97	4.8351	242000	0.44726	0.54717	0.4924	140.62
MISE	124	3.8952	241800	0.50633	0.5	0.52174	140.5
TINGS	48	5.625	241400	0.425	0.43284	0.50741	140.27
PORT	66	6.5758	240800	0.43816	0.45283	0.48428	139.92
DINE	127	3.8898	240800	0.65847	0.60674	0.66222	139.92
SHES	81	6.8642	238200	0.39826	0.5	0.48878	138.41
PIER	83	4.9639	237000	0.34685	0.32143	0.38511	137.71
USES	65	5.4615	236200	0.32411	0.35	0.37627	137.25
ARDS	93	5.0968	235400	0.37013	0.27273	0.4	136.78
CORN	57	6.4737	234200	0.30964	0.44118	0.36957	136.08
ACES	119	4.3866	234000	0.49052	0.58621	0.56695	135.97
ERNE	160	4.4188	231400	0.53431	0.46667	0.53571	134.46
LARE	200	3.435	229600	0.65618	0.49645	0.6594	133.41
TEEN	134	4.0224	228200	0.58172	0.46809	0.57957	132.6
STERN	125	3.544	226600	0.45665	0.53226	0.48496	131.67
POST	58	5.1897	226200	0.40314	0.54348	0.45148	131.44
ICES	85	4.8353	225800	0.41844	0.38272	0.46328	131.2
RAIT	204	3.5343	224000	0.52841	0.55914	0.60041	130.16
ENTER	94	4.0745	224000	0.49561	0.64198	0.57045	130.16
EANS	205	3.9512	223800	0.57262	0.44882	0.59554	130.04
TORE	235	3.5277	222800	0.72936	0.76757	0.77389	129.46
ALTER	91	4.7363	222400	0.56418	0.64516	0.64754	129.23
DEAL	117	3.9573	221000	0.43304	0.61111	0.48208	128.41
ORTS	199	3.5126	219600	0.45534	0.5	0.4954	127.6
BATE	77	4.2208	219000	0.34703	0.4717	0.45936	127.25
APER	105	5.0381	218600	0.47921	0.50602	0.53416	127.02
CHIN	61	6.1311	217600	0.35821	0.35	0.42435	126.44
ARCH	64	6.2969	214200	0.32026	0.35294	0.37619	124.46
PATE	93	4.914	212000	0.5097	0.60577	0.58202	123.18
LATER	105	3.5714	211200	0.48069	0.6129	0.60486	122.72
LACE	67	5.6716	210800	0.48795	0.61667	0.58357	122.49
LINGS	32	5.9375	210200	0.3522	0.46552	0.46842	122.14
TRAIN	102	4.2157	209800	0.60129	0.62857	0.67919	121.91
HOSE	127	4.6063	209200	0.4816	0.4507	0.51613	121.56
BORE	55	5.5636	207200	0.42584	0.41176	0.42336	120.4
SEAR	206	2.9903	206000	0.68455	0.74713	0.72472	119.7
MART	100	4.53	205800	0.53419	0.60294	0.58559	119.58
TRAD	114	4.3421	205000	0.5917	0.53125	0.58263	119.12
PALE	77	5.4156	204200	0.54296	0.53488	0.58915	118.65
LEAR	177	3.9831	204000	0.66269	0.61832	0.73652	118.54
DORS	97	4.134	204000	0.4721	0.50769	0.49846	118.54
LADE	112	4.9107	203600	0.47059	0.58095	0.57526	118.3
THIN	89	4.3371	203200	0.45089	0.31915	0.51417	118.07
MAST	85	3.8	203200	0.56863	0.54717	0.58194	118.07
SEAL	158	2.981	201200	0.62349	0.69014	0.67602	116.91
OAST	136	4.6176	200800	0.51151	0.41071	0.53778	116.68
RATS	221	2.7964	200600	0.42395	0.49438	0.49441	116.56
SIGN	69	4.942	198600	0.35577	0.52941	0.41228	115.4
TELL	59	5.5424	198400	0.48638	0.5	0.55311	115.28
ANDS	74	4.6622	195800	0.40357	0.51515	0.44262	113.77
ROOT	69	4.1449	195800	0.5051	0.52941	0.53668	113.77
STIR	219	3.5708	195400	0.6432	0.64407	0.67491	113.54
LITES	80	2.875	193600	0.368	0.32692	0.35593	112.49
ROLE	125	3.48	192800	0.5	0.52727	0.56707	112.03
MITE	102	4.402	192400	0.62691	0.55556	0.64304	111.8
OOTS	86	4.7674	192200	0.44225	0.38571	0.48628	111.68
STATE	78	4.2179	192000	0.57895	0.8	0.61538	111.56
RAPE	90	5.5556	191800	0.56479	0.55385	0.61853	111.45
SURE	91	3.989	190600	0.45198	0.47368	0.45106	110.75
RILL	41	7.9756	190200	0.48996	0.43243	0.51724	110.52
TALL	50	5.28	189600	0.40758	0.41791	0.51261	110.17
ARLE	139	4.0719	189400	0.60894	0.55882	0.60238	110.05
SERA	328	3.1799	189200	0.36224	0.6	0.44737	109.94
LAIR	123	3.7154	187200	0.41624	0.54386	0.47143	108.77
NITES	86	2.8605	187200	0.38835	0.31111	0.38272	108.77
GEST	88	4.1591	187000	0.4702	0.39286	0.42273	108.66
RUST	70	4.4571	186800	0.42289	0.43077	0.46429	108.54
RETE	154	3.526	186000	0.43946	0.36667	0.45098	108.08
REED	95	4.2	185800	0.52448	0.45833	0.53509	107.96
CORE	99	4.1313	184000	0.55486	0.64557	0.62432	106.91
HOST	91	3.6484	182400	0.42077	0.45283	0.47843	105.98
ONIE	149	4.3423	182000	0.328	0.50617	0.44118	105.75
NEAR	178	3.1517	181800	0.57277	0.54902	0.61765	105.64
GRAN	66	5.1212	181800	0.52356	0.48148	0.54661	105.64
ENDS	110	4.7818	181400	0.55281	0.54545	0.59432	105.4
REEN	128	3.8281	181000	0.54266	0.50617	0.55043	105.17
HARE	162	4.4568	180800	0.61007	0.55	0.65296	105.06
CITE	116	4.069	180400	0.62805	0.67568	0.69576	104.82
SERE	179	2.9497	180000	0.49791	0.51613	0.53271	104.59
REAR	139	3.4317	179000	0.51515	0.46667	0.55689	104.01
RATED	88	2.9205	179000	0.43902	0.47143	0.49767	104.01
TRIE	213	3.4977	178600	0.58242	0.68116	0.66282	103.78
LOSE	141	3.7943	178000	0.57429	0.64706	0.62939	103.43
LANG	52	4.8654	177000	0.4703	0.3617	0.48198	102.85
AMEN	108	5.2685	177000	0.51869	0.55	0.53943	102.85
TORT	110	4.9455	176200	0.53929	0.57447	0.62994	102.38
SETS	136	2.7868	176200	0.42408	0.40909	0.4358	102.38
LUTE	65	6.7077	174400	0.47393	0.52564	0.5	101.34
HAST	97	4.3196	174400	0.56538	0.6	0.60684	101.34
SELL	70	4.4857	174000	0.4292	0.44444	0.48828	101.1
CASE	91	3.0989	173200	0.46457	0.53333	0.47573	100.64
MOTE	73	5.137	173000	0.30973	0.41379	0.45603	100.52
ONERS	100	3.74	172800	0.52083	0.54545	0.58501	100.41
PAST	69	5.4928	172600	0.53785	0.5	0.61514	100.29
ROUT	63	5.746	172200	0.57047	0.59649	0.62037	100.06
HAIR	83	4	172000	0.46203	0.55556	0.46396	99.942
TONES	81	3	171800	0.49	0.48387	0.58222	99.826
TANG	83	4.9277	171400	0.52465	0.57447	0.59551	99.593
BASE	68	4.4118	170800	0.40909	0.52778	0.46862	99.245
TEAL	165	3.6485	169800	0.68277	0.65686	0.72486	98.664
GRAT	71	4.3521	169800	0.65193	0.72727	0.61847	98.664
SHED	72	5.7917	169600	0.46784	0.49351	0.48921	98.547
UTES	110	3.5364	168800	0.37443	0.38202	0.40767	98.083
APES	94	4.383	168000	0.47443	0.48	0.54255	97.618
RAST	152	2.9211	167400	0.60949	0.60274	0.61449	97.269
UNDE	55	5.3818	167200	0.43925	0.39286	0.45673	97.153
SIRE	248	3.0806	166800	0.67936	0.68182	0.72337	96.92
TRAP	78	4.9103	166400	0.53883	0.50746	0.56786	96.688
HOLE	73	4.3014	166400	0.42584	0.41818	0.50617	96.688
USER	114	3.8684	166000	0.47137	0.47619	0.52322	96.456
TOLE	140	3.4071	165200	0.62832	0.71053	0.7012	95.991
DENS	115	3.0522	164400	0.48503	0.45098	0.49174	95.526
ERAS	280	2.9714	164000	0.65846	0.55385	0.63702	95.293
OTTER	54	5.537	163800	0.58175	0.66292	0.62963	95.177
LORE	127	3.0866	163400	0.62151	0.59524	0.62422	94.945
SEAT	211	2.7204	163200	0.67964	0.71053	0.71014	94.829
NOSE	172	3.2849	162800	0.67626	0.67188	0.69542	94.596
TANE	160	2.9562	162200	0.53165	0.54167	0.58025	94.248
LEST	168	2.7976	161800	0.55714	0.58333	0.55634	94.015
ORAL	138	4.6594	161000	0.40157	0.57778	0.43439	93.55
SLAT	147	4.1701	160800	0.73219	0.73394	0.7619	93.434
GENT	64	4.9062	159200	0.5503	0.54839	0.53271	92.504
AUNT	59	6.5254	158400	0.54478	0.30928	0.57525	92.04
OONS	66	5.0152	158000	0.39592	0.38462	0.45051	91.807
TAME	104	4.0288	157800	0.57143	0.6	0.65465	91.691
TAPE	70	5.1	156400	0.49451	0.52941	0.55776	90.877
RANGE	43	4.7442	156200	0.4252	0.53125	0.46108	90.761
SENS	136	3.3235	156000	0.34375	0.46875	0.40741	90.645
EARING	40	6.2	155600	0.51905	0.5625	0.61694	90.413
RANTS	84	3.0714	154000	0.47857	0.6	0.49474	89.483
OOSE	91	5.5714	154000	0.39514	0.39683	0.51392	89.483
METE	76	4.3026	154000	0.57595	0.65152	0.60345	89.483
REIN	203	2.9064	153600	0.6	0.54839	0.59058	89.25
HEAD	65	4	153600	0.37838	0.4	0.43357	89.25
PEAR	102	4.2843	152600	0.60065	0.64	0.64021	88.669
CODE	50	4.98	152200	0.44068	0.61765	0.49038	88.437
LIVE	23	8.7826	151400	0.38728	0.45833	0.43939	87.972
TENE	106	3.4528	151200	0.57746	0.62	0.57934	87.856
MANE	103	3.3398	150600	0.5124	0.58696	0.54209	87.507
PENT	68	3.5294	150400	0.51316	0.44444	0.5297	87.391
MORE	84	3.4643	150200	0.50562	0.63889	0.54032	87.275
LEAT	137	3.2847	149200	0.62083	0.70909	0.67514	86.694
LAIN	127	3.1575	149000	0.37321	0.50877	0.45703	86.578
COST	72	4.9861	148200	0.61458	0.57746	0.64444	86.113
ROLL	38	6.5	148000	0.42135	0.62857	0.47644	85.997
ASTERS	69	3.9275	147400	0.63182	0.57407	0.66795	85.648
READS	69	3.2609	146800	0.48299	0.45455	0.48619	85.299
MATES	53	2.7736	146800	0.34375	0.40625	0.39683	85.299
MALT	54	4.1667	146600	0.38793	0.48148	0.40719	85.183
SIES	133	3.6692	145600	0.44681	0.27273	0.35526	84.602
ITHER	56	4.625	144400	0.2906	0.48077	0.40588	83.905
THING	35	4.2	144400	0.32456	0.19231	0.35965	83.905
SANE	186	3.0161	144000	0.52336	0.71429	0.67027	83.672
MINES	45	3.4	143600	0.36538	0.41935	0.41727	83.44
DITE	108	2.9722	143400	0.64216	0.5641	0.64151	83.324
ETHE	56	5.4286	141800	0.39161	0.52941	0.47895	82.394
ERNS	179	3.3017	141800	0.51515	0.58442	0.55784	82.394
DORE	119	3.3109	140000	0.62046	0.56818	0.65651	81.348
STEAR	136	3.0809	139800	0.75953	0.66667	0.78364	81.232
TATES	50	3.02	139400	0.41379	0.47059	0.48276	80.999
EATER	103	3.8058	139200	0.6446	0.64935	0.71347	80.883
HALE	88	4.7045	139200	0.63393	0.67742	0.65974	80.883
ANTED	73	3.7945	138400	0.4359	0.55	0.52893	80.418
CAST	77	4.2987	138400	0.65438	0.61404	0.68364	80.418
SNAR	149	3.9933	138400	0.64338	0.67308	0.6793	80.418
RICE	87	4.3103	137200	0.53478	0.46429	0.57525	79.721
SALE	144	3.1111	136800	0.66452	0.66234	0.68312	79.489
OATS	147	2.9048	136400	0.56075	0.53704	0.55116	79.256
TRAT	120	3.4	136000	0.38824	0.45455	0.44595	79.024
RISES	58	3.569	134800	0.45312	0.36842	0.5	78.327
CANE	98	3.7449	134600	0.59167	0.69643	0.66667	78.21
NINE	104	3.7404	134400	0.63006	0.50943	0.63948	78.094
HORN	69	4.4928	134000	0.44186	0.63636	0.48256	77.862
LEAS	148	3.5676	133800	0.69394	0.57627	0.71106	77.745
DIAL	81	4.0123	133600	0.59756	0.66667	0.59574	77.629
STARE	152	2.7039	133400	0.71154	0.7193	0.77067	77.513
REDE	104	3.9231	133400	0.51579	0.47826	0.46117	77.513
EARED	79	4.3165	133400	0.51761	0.60294	0.63636	77.513
RAINE	97	3.5979	132800	0.70722	0.62791	0.73375	77.164
HONE	99	4.6667	132600	0.57227	0.73973	0.68041	77.048
SAIL	98	3.1633	132600	0.64	0.64407	0.65462	77.048
REAM	106	4.2925	132200	0.65343	0.67213	0.67412	76.816
GIST	48	3.9583	132000	0.27586	0.55556	0.33663	76.7
ACER	122	4.1393	131600	0.65105	0.61176	0.71212	76.467
HIRE	143	3.8182	131400	0.70347	0.70103	0.73363	76.351
NARE	203	3.133	131400	0.64873	0.70455	0.67095	76.351
LASH	72	4.1528	131200	0.63285	0.73684	0.63745	76.235
AIDE	136	3.7426	130600	0.72333	0.68571	0.73418	75.886
OTHER	57	4.8421	129000	0.57055	0.86364	0.58974	74.956
NEAT	191	2.9162	128800	0.68132	0.64516	0.66333	74.84
ULES	84	3.7262	128800	0.38462	0.30952	0.39744	74.84
CONS	54	4.1852	128600	0.28767	0.33333	0.29565	74.724
RAISE	114	3.1754	128200	0.65285	0.69697	0.688	74.492
POSE	59	4.2373	127200	0.50811	0.58333	0.58852	73.911
SOLA	104	4.3558	126800	0.45238	0.71429	0.5	73.678
RONES	101	3.0792	126200	0.61355	0.59701	0.6587	73.329
ICER	83	3.9639	126200	0.49505	0.47368	0.57414	73.329
RACH	52	4.4231	125800	0.5	0.63158	0.56707	73.097
TITE	89	3.1124	125000	0.66372	0.69388	0.70115	72.632
AITS	179	3.0112	124800	0.55254	0.50617	0.57108	72.516
TRIP	52	5.7692	124800	0.52941	0.42857	0.50526	72.516
OLDE	75	4.8133	124200	0.55414	0.57143	0.57391	72.167
WINE	43	5.7209	123600	0.54854	0.52381	0.54348	71.819
PLAT	50	5.4	123400	0.58289	0.70588	0.63291	71.702
ALINE	75	4.2933	122400	0.62667	0.67105	0.71721	71.121
SHOT	80	3.75	122400	0.58101	0.62963	0.62162	71.121
RASH	111	3.4144	122200	0.66518	0.70909	0.69831	71.005
PIES	40	3.975	122000	0.3	0.3913	0.384	70.889
ANIS	184	3.7663	120600	0.40789	0.30769	0.41892	70.076
ROTI	125	3.656	120600	0.52083	0.54545	0.4964	70.076
TROP	56	4.625	120200	0.46392	0.5	0.46512	69.843
NOTE	187	3.3209	119400	0.79157	0.79808	0.83144	69.378
STEAL	99	2.9798	119200	0.68644	0.73585	0.68872	69.262
CORS	63	3.8889	118400	0.58824	0.56522	0.61576	68.797
UNDER	32	5.1875	118200	0.45455	0.5	0.48507	68.681
LAME	66	4.4848	118200	0.53052	0.57143	0.6367	68.681
OURS	63	4.0317	118200	0.41353	0.54762	0.48205	68.681
DONE	84	3.2143	117800	0.42138	0.58491	0.62185	68.449
ROON	65	3.5385	117600	0.43925	0.41176	0.45333	68.332
HART	101	3.3366	117200	0.55346	0.56923	0.6255	68.1
LAPS	49	4.3061	116800	0.44295	0.41176	0.46707	67.868
RONT	124	3.4919	116800	0.70192	0.62264	0.71906	67.868
LATI	84	4.25	116600	0.35484	0.33333	0.4188	67.751
NONE	70	3.4286	116000	0.45455	0.53333	0.51685	67.403
BAND	30	4.8667	115800	0.46789	0.6	0.47727	67.286
HIST	90	3.0556	115600	0.4	0.5625	0.47651	67.17
DART	100	3.41	114600	0.61589	0.59524	0.65385	66.589
IRING	22	6.2727	114400	0.31522	0.42424	0.35652	66.473
RITS	140	2.65	114000	0.47561	0.48077	0.5098	66.241
MODE	51	4.451	114000	0.46809	0.56098	0.55978	66.241
BAST	65	4.8923	113800	0.60324	0.63889	0.65371	66.124
