key	len	boards	present	found	foundByOpp	cellmateMissedPts	missedPts	completion
ADERS	5	745	2245	674	695	648800	1256800	0.3002
AERRST	6	391	1229	547	447	634200	954800	0.4451
ADERT	5	773	2378	793	875	630400	1268000	0.3335
AELRT	5	757	2251	657	633	627200	1275200	0.2919
AIRS	4	1271	4420	1126	883	624800	1317600	0.2548
AET	3	3403	12952	4009	2906	622900	894300	0.3095
EORSST	6	398	1271	386	299	618800	1239000	0.3037
DEIST	5	601	2085	527	554	609600	1246400	0.2528
EENST	5	706	2176	887	671	581600	1031200	0.4076
ENORST	6	397	1195	526	512	579600	936600	0.4402
EINRT	5	887	2429	1116	914	555200	1050400	0.4594
ADEST	5	699	2123	595	689	543200	1222400	0.2803
ORST	4	1157	3646	1352	1041	540000	917600	0.3708
AEPRT	5	456	1519	595	503	528800	739200	0.3917
AENT	4	1404	3760	975	856	501600	1114000	0.2593
EILS	4	1191	3524	922	701	490800	1040800	0.2616
AERSTT	6	400	1114	499	442	484400	861000	0.4479
DEERS	5	642	1890	523	478	478400	1093600	0.2767
EIRT	4	1279	3772	1599	1455	475200	869200	0.4239
ACERST	6	360	1042	527	505	470400	721000	0.5058
DEINS	5	598	1778	546	446	455200	985600	0.3071
ENOS	4	1049	3303	985	741	451600	927200	0.2982
ALST	4	948	2957	1300	1124	447200	662800	0.4396
ADERST	6	387	990	412	399	442400	809200	0.4162
AESST	5	576	1647	677	645	440000	776000	0.4111
ENORT	5	561	1570	760	673	431200	648000	0.4841
EERS	4	1499	3864	1403	936	430000	984400	0.3631
EILST	5	599	1747	741	668	426400	804800	0.4242
DEOR	4	861	2959	943	689	422800	806400	0.3187
ACERT	5	492	1541	830	772	418400	568800	0.5386
AEELRS	6	294	882	427	331	415800	637000	0.4841
AEPRST	6	279	792	333	344	406000	642600	0.4205
EILRS	5	511	1498	375	313	404000	898400	0.2503
AEPST	5	427	1348	568	581	402400	624000	0.4214
IORST	5	661	2188	267	242	400000	1536800	0.122
DEILS	5	430	1511	235	239	391200	1020800	0.1555
AEHST	5	580	1608	773	678	390400	668000	0.4807
AENR	4	1153	3282	1144	890	384000	855200	0.3486
ENRST	5	666	1606	562	442	381600	835200	0.3499
EHORS	5	462	1463	529	387	380800	747200	0.3616
DENS	4	923	2852	868	532	375200	793600	0.3043
AEMS	4	686	2515	649	572	368000	746400	0.2581
DEIT	4	706	2553	820	806	367600	693200	0.3212
CEIRS	5	410	1251	309	294	352000	753600	0.247
AELPS	5	318	1079	323	289	348000	604800	0.2994
EIMST	5	331	1126	289	326	346400	669600	0.2567
AEMRST	6	272	767	317	275	345800	630000	0.4133
AEIRS	5	596	1603	403	297	344000	960000	0.2514
DEIRS	5	446	1215	391	374	340800	659200	0.3218
EENS	4	865	2648	653	363	337200	798000	0.2466
AELSS	5	441	1178	458	389	336800	576000	0.3888
ELORS	5	489	1442	622	511	335200	656000	0.4313
AEHT	4	736	2328	960	670	334400	547200	0.4124
AILRS	5	458	1359	322	307	332000	829600	0.2369
AEERS	5	565	1445	689	428	331200	604800	0.4768
AEGRS	5	292	1006	355	316	329600	520800	0.3529
ADEIRS	6	265	721	196	151	329000	735000	0.2718
EINT	4	1063	2671	1335	1072	324400	534400	0.4998
EERSST	6	279	717	211	221	323400	708400	0.2943
ANST	4	1053	2888	727	673	322000	864400	0.2517
AEMNS	5	369	1182	413	340	321600	615200	0.3494
AEHLS	5	346	1086	420	342	320800	532800	0.3867
DEER	4	882	2767	880	673	318800	754800	0.318
AEMST	5	420	1179	538	536	318400	512800	0.4563
EILR	4	893	2830	675	660	318000	862000	0.2385
AELNS	5	414	1163	318	325	312800	676000	0.2734
ERS	3	3516	9399	2959	2084	310400	644000	0.3148
EELS	4	671	2187	593	438	310400	637600	0.2711
AELSST	6	242	659	324	265	309400	469000	0.4917
EILRT	5	492	1295	612	601	308000	546400	0.4726
AER	3	3088	8422	3626	1660	305800	479600	0.4305
APST	4	533	1872	691	649	304400	472400	0.3691
AENSS	5	410	1172	261	295	304000	728800	0.2227
AIRT	4	1056	3091	503	468	302400	1035200	0.1627
EORRST	6	216	643	204	157	302400	614600	0.3173
AORST	5	632	1781	413	382	301600	1094400	0.2319
AEGRT	5	363	996	378	309	301600	494400	0.3795
AEILRS	6	277	726	174	206	299600	772800	0.2397
DEIN	4	756	2220	568	521	298800	660800	0.2559
EIST	4	1250	3090	947	848	296400	857200	0.3065
EINSS	5	461	1231	203	192	296000	822400	0.1649
ESTT	4	801	2330	736	528	294800	637600	0.3159
ADEILR	6	230	610	159	150	292600	631400	0.2607
AINT	4	925	2596	418	482	291600	871200	0.161
ADEERST	7	180	474	125	156	291600	628200	0.2637
APRST	5	365	1183	392	385	291200	632800	0.3314
ILST	4	752	2336	705	719	288800	652400	0.3018
ADEIR	5	499	1340	293	266	287200	837600	0.2187
AILT	4	609	1862	404	403	286400	583200	0.217
AEPR	4	597	1992	1063	828	282800	371600	0.5336
AERRT	5	281	915	320	251	281600	476000	0.3497
AETT	4	664	1711	686	531	280800	410000	0.4009
ELNO	4	598	1792	378	393	280400	565600	0.2109
AEINRST	7	311	796	144	190	279000	1173600	0.1809
AELN	4	698	2023	610	564	278800	565200	0.3015
EINS	4	913	2417	558	488	278000	743600	0.2309
AELMS	5	266	851	253	263	277600	478400	0.2973
AEMT	4	620	1942	1018	867	277200	369600	0.5242
AILS	4	696	2011	497	449	267600	605600	0.2471
AEHRS	5	448	1108	586	550	266400	417600	0.5289
AES	3	2436	6760	2954	1966	265100	380600	0.437
EOPST	5	243	823	265	237	263200	446400	0.322
AEGRST	6	230	622	281	226	261800	477400	0.4518
AELPST	6	161	489	161	137	260400	459200	0.3292
DEIS	4	727	2195	434	461	259200	704400	0.1977
EST	3	3399	9389	2248	1660	259100	714100	0.2394
ENOR	4	960	2497	746	516	258800	700400	0.2988
EIPRS	5	366	1114	390	307	258400	579200	0.3501
AERSS	5	394	1059	407	324	254400	521600	0.3843
AINRS	5	443	1160	235	231	253600	740000	0.2026
EOPRST	6	162	500	221	195	252000	390600	0.442
ELST	4	1012	2869	672	512	249600	878800	0.2342
ERSU	4	654	2186	615	459	249200	628400	0.2813
ADEERS	6	211	521	217	183	249200	425600	0.4165
AEHRT	5	361	939	313	300	246400	500800	0.3333
AEERSST	7	155	408	161	152	244800	444600	0.3946
ENORSS	6	196	511	108	93	243600	564200	0.2114
AEILN	5	422	1106	179	194	242400	741600	0.1618
EELST	5	376	1182	492	437	242400	552000	0.4162
INOR	4	689	2183	304	143	236800	751600	0.1393
EILNS	5	355	987	168	214	235200	655200	0.1702
AIST	4	1184	3255	319	339	233200	1174400	0.098
ELOS	4	611	1708	699	497	228800	403600	0.4093
AERRS	5	405	980	364	297	228800	492800	0.3714
AERTT	5	400	898	401	252	227200	397600	0.4465
GINS	4	541	1633	543	398	226800	436000	0.3325
AEMN	4	466	1558	633	481	226800	370000	0.4063
ADIS	4	591	1969	260	246	226000	683600	0.132
ADELS	5	345	970	446	408	225600	419200	0.4598
AHST	4	582	1650	714	677	224400	374400	0.4327
AEGR	4	470	1602	605	523	224400	398800	0.3777
APRT	4	594	1677	695	552	224400	392800	0.4144
DENORS	6	181	479	140	130	224000	474600	0.2923
AST	3	2301	6380	2484	1877	223900	389600	0.3893
EENT	4	820	2051	627	382	222400	569600	0.3057
AEMRT	5	267	774	231	248	222400	434400	0.2984
AINR	4	711	1608	589	527	222000	407600	0.3663
ACEST	5	330	842	300	304	221600	433600	0.3563
ART	3	2447	6632	3792	2896	221300	284000	0.5718
OPST	4	380	1354	510	494	221200	337600	0.3767
EPST	4	538	1772	390	363	220800	552800	0.2201
EIRSST	6	202	540	165	144	219800	525000	0.3056
INST	4	923	2418	461	488	218000	782800	0.1907
ANRST	5	383	921	292	299	217600	503200	0.317
ACER	4	606	1733	970	702	217600	305200	0.5597
AEILNS	6	225	617	118	143	217000	698600	0.1912
ACERSS	6	141	401	93	95	217000	431200	0.2319
DELOS	5	281	827	288	255	216800	431200	0.3482
ADENRS	6	168	428	133	116	214200	413000	0.3107
AELM	4	445	1419	573	512	213600	338400	0.4038
ABEST	5	240	730	252	239	212800	382400	0.3452
AEMRS	5	352	938	460	404	212800	382400	0.4904
ARSTT	5	411	1054	373	389	212800	544800	0.3539
ABERS	5	225	670	223	243	211200	357600	0.3328
AEPS	4	494	1502	372	319	211200	452000	0.2477
AOST	4	878	2638	324	368	209600	925600	0.1228
EHIRS	5	299	786	247	277	208800	431200	0.3142
EIMRST	6	159	470	232	220	208600	333200	0.4936
AEERT	5	515	1210	632	374	208000	462400	0.5223
EIMRS	5	281	803	288	245	206400	412000	0.3587
EIMR	4	418	1421	321	269	206000	440000	0.2259
INS	3	1946	5154	1472	1321	199300	368200	0.2856
ADET	4	542	1409	530	440	199200	351600	0.3762
ELOST	5	324	863	359	366	198400	403200	0.416
EILRST	6	289	684	348	366	197400	470400	0.5088
AELPT	5	217	655	180	132	196800	380000	0.2748
HINS	4	473	1427	283	260	196800	457600	0.1983
AEELS	5	273	779	309	184	196000	376000	0.3967
EIRSTT	6	250	602	197	210	194600	567000	0.3272
IRST	4	1073	2146	805	645	194000	536400	0.3751
EENRT	5	385	954	508	368	192800	356800	0.5325
HOST	4	456	1451	492	469	192400	383600	0.3391
DEIR	4	489	1356	387	386	190400	387600	0.2854
ADELST	6	174	493	156	221	190400	471800	0.3164
EHST	4	748	2091	660	417	190000	572400	0.3156
EIMT	4	350	1097	422	378	189600	270000	0.3847
AINS	4	716	1681	556	419	189200	450000	0.3308
OORST	5	266	769	276	245	188000	394400	0.3589
AEORST	6	314	748	279	202	187600	656600	0.373
AENPS	5	271	842	331	219	186400	408800	0.3931
ENOSST	6	151	403	64	64	184800	474600	0.1588
EOPRS	5	258	758	425	346	184800	266400	0.5607
ARS	3	2234	5920	2461	1908	184400	345900	0.4157
EIMRT	5	252	742	350	342	184000	313600	0.4717
ADEERR	6	125	350	104	112	183400	344400	0.2971
AORS	4	708	1971	350	330	180000	648400	0.1776
CEIT	4	500	1254	434	398	178400	328000	0.3461
EFIRS	5	231	660	139	150	177600	416800	0.2106
HIST	4	470	1422	377	372	177200	418000	0.2651
AEELST	6	166	402	145	138	176400	359800	0.3607
CEIR	4	501	1468	468	375	176400	400000	0.3188
EGINRS	6	161	446	180	127	175000	372400	0.4036
AIR	3	1690	4669	1902	1446	174700	276700	0.4074
EGORS	5	222	717	104	125	174400	490400	0.145
ACENR	5	224	599	193	170	173600	324800	0.3222
AERSW	5	193	590	232	194	172800	286400	0.3932
EEMST	5	250	845	267	238	172800	462400	0.316
ADRST	5	290	797	178	211	172800	495200	0.2233
AEPT	4	343	1089	546	458	172800	217200	0.5014
ACENRT	6	148	387	117	116	172200	378000	0.3023
DEORST	6	185	465	223	172	172200	338800	0.4796
ANT	3	1880	5007	2076	1820	171700	293100	0.4146
EEPRS	5	248	691	231	220	170400	368000	0.3343
ACST	4	455	1238	498	481	170000	296000	0.4023
DEILST	6	145	405	111	127	169400	411600	0.2741
AEGNR	5	193	564	165	138	168800	319200	0.2926
IST	3	2026	5618	1401	1205	168400	421700	0.2494
ADEEST	6	172	437	170	173	166600	373800	0.389
ADEER	5	234	575	189	164	166400	308800	0.3287
EILT	4	615	1507	877	704	166000	252000	0.582
EERSS	5	268	703	159	117	165600	435200	0.2262
INORS	5	391	1055	145	93	164800	728000	0.1374
ACDER	5	229	683	143	186	164800	432000	0.2094
AILRT	5	292	694	232	162	164000	369600	0.3343
ADIR	4	544	1446	253	208	163600	477200	0.175
ANS	3	1733	4656	1240	1145	163200	341600	0.2663
AELP	4	338	1016	424	373	162800	236800	0.4173
AEILNR	6	189	454	141	118	162400	438200	0.3106
APRS	4	346	1086	510	403	160800	230400	0.4696
ADEINST	7	109	295	67	75	160200	410400	0.2271
DEENST	6	167	431	101	104	159600	462000	0.2343
AHS	3	942	3188	1193	938	157700	199500	0.3742
IORT	4	744	2384	205	283	157200	871600	0.08599
ENNOST	6	128	383	76	114	155400	429800	0.1984
ADEERT	6	174	400	112	159	155400	403200	0.28
AEINRS	6	185	416	95	85	155400	449400	0.2284
ABELS	5	180	532	156	144	155200	300800	0.2932
EHOR	4	424	1219	338	243	154800	352400	0.2773
AIT	3	1517	4248	992	817	153400	325600	0.2335
ELOR	4	557	1451	557	421	153200	357600	0.3839
AEORT	5	427	1074	508	347	152800	452800	0.473
ENSST	5	275	628	258	207	152000	296000	0.4108
ORT	3	1686	4548	2303	1698	151100	224500	0.5064
ABEL	4	243	835	278	225	150000	222800	0.3329
CEIST	5	207	546	165	182	149600	304800	0.3022
ADEL	4	459	1327	624	551	148800	281200	0.4702
AEHR	4	403	951	450	365	147600	200400	0.4732
ADENS	5	279	712	130	154	147200	465600	0.1826
EIRTT	5	292	704	280	316	146400	339200	0.3977
DEIL	4	603	2016	156	251	146000	744000	0.07738
EERT	4	520	1227	479	442	144800	299200	0.3904
ALS	3	1550	4072	1939	1397	141500	213300	0.4762
EILSST	6	121	302	72	52	141400	322000	0.2384
AIMN	4	364	1052	333	328	140400	287600	0.3165
ADRT	4	533	1282	511	394	140400	308400	0.3986
EIRSS	5	310	700	324	223	140000	300800	0.4629
DENOR	5	232	566	150	134	140000	332800	0.265
AEILRT	6	163	362	169	147	140000	270200	0.4669
ADELN	5	152	427	108	97	140000	255200	0.2529
AEIMRS	6	130	341	71	39	140000	378000	0.2082
ASTW	4	262	901	337	290	139600	225600	0.374
EILSS	5	191	480	168	113	139200	249600	0.35
EORSW	5	155	486	107	89	139200	303200	0.2202
ACES	4	462	1179	301	286	138800	351200	0.2553
EOPS	4	244	765	185	111	137600	232000	0.2418
ABELST	6	101	329	84	74	137200	343000	0.2553
AHRT	4	447	1246	204	284	137200	416800	0.1637
HOS	3	1010	3026	1026	783	137000	200000	0.3391
EINNR	5	229	563	155	143	136800	326400	0.2753
AGNST	5	191	531	135	127	136000	316800	0.2542
AEGN	4	418	1276	191	203	136000	434000	0.1497
NOST	4	674	1755	307	326	136000	579200	0.1749
EFIR	4	263	896	216	168	134400	272000	0.2411
EGINST	6	85	235	108	92	134400	177800	0.4596
AINRST	6	135	327	140	113	134400	261800	0.4281
AORT	4	757	2461	488	455	134400	789200	0.1983
AGNR	4	361	878	298	258	134000	232000	0.3394
ABELR	5	148	468	205	102	132800	210400	0.438
EGOR	4	348	1114	185	198	132800	371600	0.1661
EILPS	5	146	476	133	148	132800	274400	0.2794
EORTT	5	252	630	371	291	132000	207200	0.5889
COST	4	337	928	297	299	131600	252400	0.32
OSTW	4	203	761	214	176	130800	218800	0.2812
AILN	4	435	1123	301	281	130800	328800	0.268
AEEST	5	208	416	163	116	130400	202400	0.3918
AEGINT	6	154	392	63	61	128800	460600	0.1607
CEORST	6	106	265	86	77	128800	250600	0.3245
AEPRSS	6	121	335	152	145	128800	256200	0.4537
CEOST	5	184	467	196	174	128000	216800	0.4197
EPRST	5	278	751	100	71	128000	520800	0.1332
EMORS	5	215	569	174	173	128000	316000	0.3058
AILNS	5	201	557	147	129	128000	328000	0.2639
AEGINST	7	113	292	83	72	127800	376200	0.2842
DELO	4	353	985	365	268	127600	248000	0.3706
ACEHRS	6	112	288	126	120	127400	226800	0.4375
EMOST	5	161	467	179	189	127200	230400	0.3833
DEERST	6	137	304	81	87	126000	312200	0.2664
CEIRT	5	181	477	151	151	124800	260800	0.3166
DENR	4	488	1130	328	225	124400	320800	0.2903
AEGINRS	7	98	240	117	73	124200	221400	0.4875
AHRST	5	250	592	140	135	124000	361600	0.2365
EHS	3	1085	3048	942	603	123800	210600	0.3091
EMOS	4	334	974	245	238	123600	291600	0.2515
AEEMRS	6	81	212	92	61	123200	168000	0.434
ORSTU	5	179	508	216	168	123200	233600	0.4252
ESTW	4	271	953	339	227	123200	245600	0.3557
ACENRS	6	115	270	79	68	123200	267400	0.2926
ABDER	5	148	399	151	123	123200	198400	0.3784
ABER	4	297	791	348	288	122800	177200	0.4399
DEENS	5	275	767	374	230	120800	314400	0.4876
ADNS	4	369	968	242	193	120800	290400	0.25
EORT	4	716	1432	844	733	120800	235200	0.5894
AEHLSS	6	91	230	77	73	120400	214200	0.3348
LOOST	5	199	550	182	182	120000	294400	0.3309
EIMN	4	282	703	232	232	120000	188400	0.33
DEN	3	1500	3930	1310	908	119700	262000	0.3333
EORSTU	6	134	360	211	174	119000	208600	0.5861
ILOS	4	461	1193	316	281	118400	350800	0.2649
EELRS	5	238	651	306	220	118400	276000	0.47
ASTT	4	598	1196	510	463	118400	274400	0.4264
EERSTT	6	121	297	132	104	117600	231000	0.4444
ADERRT	6	110	275	78	85	116200	275800	0.2836
AEENST	6	305	808	42	121	116200	1072400	0.05198
EIPRST	6	128	347	68	64	116200	390600	0.196
AINRT	5	212	476	114	108	116000	289600	0.2395
DORS	4	381	992	285	219	115600	282800	0.2873
ACOST	5	166	460	139	134	115200	256800	0.3022
AELSV	5	86	307	106	89	115200	160800	0.3453
AEGST	5	174	443	165	167	115200	222400	0.3725
EEMRST	6	156	446	55	87	114800	547400	0.1233
AGST	4	334	987	413	308	114000	229600	0.4184
EFIN	4	247	718	119	112	113600	239600	0.1657
ACEPRS	6	67	200	74	61	113400	176400	0.37
ADEPRS	6	88	241	98	89	113400	200200	0.4066
EINORS	6	145	312	73	29	113400	334600	0.234
AEHPRS	6	106	302	56	31	113400	344400	0.1854
EEMS	4	379	1236	189	203	113200	418800	0.1529
NORT	4	519	1179	380	339	112800	319600	0.3223
DEOS	4	494	1159	390	291	112800	307600	0.3365
EENSS	5	260	707	99	101	111200	486400	0.14
AINPS	5	150	431	90	90	111200	272800	0.2088
CEORS	5	221	548	322	281	111200	180800	0.5876
EIPS	4	357	994	337	266	110800	262800	0.339
DEIRST	6	177	405	73	106	110600	464800	0.1802
EOR	3	1536	4306	786	525	110600	352000	0.1825
DENST	5	229	511	271	229	110400	192000	0.5303
ARTT	4	740	1480	438	492	110400	416800	0.2959
NORST	5	312	724	137	182	109600	469600	0.1892
AEFST	5	132	397	154	138	109600	194400	0.3879
AEIRSS	6	115	285	105	88	109200	252000	0.3684
DENO	4	362	892	417	302	109200	190000	0.4675
AENSST	6	139	317	108	114	109200	292600	0.3407
ADEINR	6	108	256	57	74	109200	278600	0.2227
AEN	3	1962	5396	778	446	109200	461800	0.1442
AEORS	5	361	796	109	79	108800	549600	0.1369
AEMNR	5	206	498	105	115	108800	314400	0.2108
NOS	3	1344	3620	1202	958	108400	241800	0.332
ADEIRST	7	175	452	24	45	108000	770400	0.0531
OPRST	5	140	379	125	127	108000	203200	0.3298
EINR	4	603	1206	594	425	107200	244800	0.4925
ELT	3	1644	4220	1145	839	104900	307500	0.2713
EHNS	4	373	953	236	158	104800	286800	0.2476
AEELRST	7	107	253	76	105	104400	318600	0.3004
EOPRT	5	154	401	186	151	104000	172000	0.4638
ADEELR	6	109	272	100	90	103600	240800	0.3676
ELNOS	5	206	551	58	67	102400	394400	0.1053
EGINS	5	183	407	98	89	102400	247200	0.2408
EMST	4	563	1413	331	269	100800	432800	0.2343
AEGNRS	6	96	253	82	75	100800	239400	0.3241
AIMR	4	285	917	106	137	100000	324400	0.1156
ENSTT	5	247	561	290	193	100000	216800	0.5169
ENT	3	2341	4682	2169	1377	99900	251300	0.4633
ALPS	4	285	836	174	157	99600	264800	0.2081
EILN	4	400	800	319	349	99600	192400	0.3987
AGINRS	6	105	252	68	70	99400	257600	0.2698
AEGLR	5	152	391	125	112	99200	212800	0.3197
AELV	4	141	522	129	114	99200	157200	0.2471
ADEMN	5	129	392	102	102	99200	232000	0.2602
ACOT	4	337	869	143	136	99200	290400	0.1646
AGNS	4	293	824	281	188	98800	217200	0.341
ERSSU	5	183	481	118	112	98400	290400	0.2453
ADEHS	5	167	414	124	142	98400	232000	0.2995
AEEMR	5	120	316	118	55	98400	158400	0.3734
EELSST	6	77	226	80	78	98000	204400	0.354
EORSTT	6	129	306	173	147	98000	186200	0.5654
CEIRST	6	97	224	68	67	98000	218400	0.3036
ADDER	5	160	475	81	96	97600	315200	0.1705
AEILRST	7	104	242	67	67	97200	315000	0.2769
EEGRS	5	188	528	67	82	96800	368800	0.1269
ENNOT	5	183	473	50	111	96800	338400	0.1057
EENRS	5	293	663	348	125	96800	252000	0.5249
AEEHRS	6	106	246	142	117	96600	145600	0.5772
ADEH	4	296	797	163	157	96400	253600	0.2045
AGNT	4	338	778	235	216	96400	217200	0.3021
APS	3	697	2224	967	781	96300	125700	0.4348
ACELR	5	172	377	147	149	96000	184000	0.3899
INPS	4	340	912	374	261	94400	215200	0.4101
AMST	4	344	831	387	312	94000	177600	0.4657
EINNRS	6	118	274	99	85	93800	245000	0.3613
EINRSTT	7	73	178	91	63	93600	156600	0.5112
AILP	4	221	702	107	124	93600	238000	0.1524
IMST	4	276	681	250	218	93200	172400	0.3671
EINRSS	6	123	302	55	60	92400	345800	0.1821
AEGT	4	272	656	198	200	92400	183200	0.3018
ARSTW	5	124	371	99	104	91200	217600	0.2668
ACRS	4	291	706	322	245	91200	153600	0.4561
EHIST	5	192	461	115	89	91200	276800	0.2495
ACDE	4	217	718	168	151	91200	220000	0.234
AEIPRS	6	110	260	51	40	91000	292600	0.1962
AEIMR	5	136	333	83	45	90400	200000	0.2492
ADEIS	5	227	496	105	76	90400	312800	0.2117
AENP	4	288	803	344	243	90000	183600	0.4284
ACEN	4	251	635	245	193	89600	156000	0.3858
AINP	4	205	580	110	102	89600	188000	0.1897
AEPRRS	6	76	204	85	94	89600	166600	0.4167
EEHRS	5	271	685	353	238	89600	265600	0.5153
DENRU	5	145	383	86	79	88800	237600	0.2245
EEMRT	5	188	530	111	143	88800	335200	0.2094
ABST	4	252	729	293	255	88800	174400	0.4019
ADIL	4	369	878	229	174	88000	259600	0.2608
EMOR	4	309	727	159	149	88000	227200	0.2187
ENS	3	1786	3572	979	755	87500	259300	0.2741
LOST	4	389	960	245	292	87200	286000	0.2552
ACENS	5	146	322	118	107	87200	163200	0.3665
AELRSST	7	69	160	93	86	86400	120600	0.5813
ANPS	4	347	926	335	269	86000	236400	0.3618
EELR	4	415	1042	488	356	86000	221600	0.4683
IPRST	5	168	442	123	98	85600	255200	0.2783
AILST	5	166	353	90	81	85600	210400	0.255
EIPST	5	143	357	107	105	84800	200000	0.2997
ADILS	5	167	416	71	60	84800	276000	0.1707
AILM	4	220	534	184	181	84400	140000	0.3446
ADENR	5	207	444	86	60	84000	286400	0.1937
AERV	4	133	470	204	168	84000	106400	0.434
ACNR	4	318	754	193	177	84000	224400	0.256
AEGINR	6	119	289	108	79	84000	253400	0.3737
ACELRS	6	79	182	73	62	84000	152600	0.4011
ILNO	4	336	1033	230	187	83600	321200	0.2227
ORTT	4	471	942	282	277	83200	264000	0.2994
AESSTT	6	106	224	102	109	82600	170800	0.4554
AEEPRS	6	84	184	52	58	82600	184800	0.2826
ELOSS	5	145	337	133	113	82400	163200	0.3947
ADERR	5	187	426	106	103	82400	256000	0.2488
ABET	4	205	576	216	184	82400	144000	0.375
ENRT	4	446	892	484	358	82400	163200	0.5426
DOS	3	797	2447	658	486	81600	178900	0.2689
AEL	3	1186	2372	1223	841	81300	114900	0.5156
ADELNS	6	84	200	50	54	81200	210000	0.25
ADEPRT	6	79	217	49	64	81200	235200	0.2258
DEHORS	6	102	254	55	67	81200	278600	0.2165
BEIRST	6	96	237	47	64	81200	266000	0.1983
EORSTW	6	62	163	70	51	81200	130200	0.4294
AGINRST	7	50	127	51	46	81000	136800	0.4016
DEORT	5	122	285	129	102	80800	124800	0.4526
EELT	4	389	951	358	306	80800	237200	0.3764
EHRS	4	552	1406	132	140	80400	509600	0.09388
INT	3	1947	3894	2551	1814	80300	134300	0.6551
ANSTU	5	144	406	64	55	80000	273600	0.1576
AESTW	5	112	270	85	63	80000	148000	0.3148
AEGRR	5	113	253	93	87	80000	128000	0.3676
ACEPR	5	98	251	118	106	80000	106400	0.4701
DEENRT	6	84	196	69	69	79800	177800	0.352
DEI	3	1096	3104	546	505	79800	255800	0.1759
DEIMST	6	70	206	21	38	79800	259000	0.1019
ELRSTU	6	83	234	41	68	79800	270200	0.1752
AEGS	4	287	710	252	197	79600	183200	0.3549
GINR	4	278	623	248	225	79600	150000	0.3981
EINPS	5	185	475	233	180	79200	193600	0.4905
AIMNS	5	156	387	103	125	79200	227200	0.2661
ACELS	5	113	272	107	103	79200	132000	0.3934
AEEGRS	6	86	212	60	48	78400	212800	0.283
DENOS	5	138	317	138	119	77600	143200	0.4353
EINRTT	6	102	204	113	88	77000	127400	0.5539
ADNR	4	312	706	191	181	76800	206000	0.2705
ILN	3	1139	2278	1028	887	76800	125000	0.4513
EHNST	5	170	380	201	112	76000	143200	0.5289
AERSSTT	7	72	160	64	72	75600	172800	0.4
DEIRRS	6	89	202	51	36	75600	211400	0.2525
ACNST	5	123	286	132	111	74400	123200	0.4615
EOPR	4	214	583	316	236	74400	106800	0.542
EHT	3	905	2572	796	381	74300	177600	0.3095
AENPRT	6	87	208	48	49	74200	224000	0.2308
COR	3	675	1762	662	585	73700	110000	0.3757
AEKST	5	83	260	142	108	73600	94400	0.5462
EHNOS	5	128	301	111	113	73600	152000	0.3688
ADEPR	5	127	312	100	126	73600	169600	0.3205
AMNOS	5	129	378	74	78	73600	243200	0.1958
AERSV	5	87	239	124	106	73600	92000	0.5188
DEIRT	5	256	593	98	187	72800	396000	0.1653
EISST	5	229	458	171	167	72800	229600	0.3734
ALSST	5	139	321	131	145	72800	152000	0.4081
EHOS	4	327	804	371	285	72800	173200	0.4614
