rank	stem	stemLen	isWord	track	score	value	gainPar	gainAlpha	deadPoints	effort	studyItems	newWords	owned	learning	unknown	familySize	branches	presentShare	presentGames	enumerability	enumerabilityObserved	enumerabilityFindable	enumerabilitySource	cueable	coherence	residual	deadBranches	deadExposure	scoreStandalone	learn	why
11	SIRE	4	True	alpha	4.849	25.603	6.6772	18.744	0.90828	5.28	6	6	5	18	50	29	83	0.14939	428	2.0793	2.1051	2.1051	observed	True	0.54932	1364.2	54	0.11098	4.849	SIREN SIREES SIREE SIRED SIRENS SIRES	SIRE- is on 15% of your boards; you already own 5 of the 83 words on it (29 of them extend the stem's own path), so the rest cost little; the queue wants SIREN, SIREES, SIREE (25.4 points a game between 6 words); enumerability 2.1 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
12	ASTE	4	False	par	4.7089	38.99	36.152	2.239	2.9944	8.28	11	11	119	127	419	311	748	0.18604	533	5.7614	6.9962	6.9962	observed	False	0.52314	2827.4	51	0.29379	4.7089	ASTER ASTERS TASTES HASTE RASTER GASTER HASTES HASTEN ASTERT ASTERID ASTERIA	ASTE- is on 19% of your boards; you already own 119 of the 748 words on it (311 of them extend the stem's own path), so the rest cost little; the queue wants ASTER, ASTERS, TASTES (38.4 points a game between 11 words); enumerability 7.0 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 51 dead affixes worth 3.0 points a game in avoided misswipes at the current weight.
13	TERE	4	False	par	4.6782	16.28	14.756	1.3505	0.86904	3.48	3	3	20	74	278	308	540	0.11937	342	2.5171	3.0994	3.0994	observed	True	0.48545	2600.5	58	0.13288	4.6782	STERE STERES STEREO	TERE- is on 12% of your boards; you already own 20 of the 540 words on it (308 of them extend the stem's own path), so the rest cost little; the queue wants STERE, STERES, STEREO (16.1 points a game between 3 words); enumerability 3.1 is inside the 2-6 band, so it also works as something to scan for on a board; 58 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
14	HALE	4	True	par	4.586	29.717	28.079	1.5772	0.3062	6.48	8	8	5	17	64	56	104	0.056545	162	3.3617	4.0556	3.88	calibrated	True	0.57296	2645.7	50	0.098844	4.586	HALERS HALER HALES SHALE HALED HALEST THALE THALER	HALE- is on 6% of your boards; you already own 5 of the 104 words on it (56 of them extend the stem's own path), so the rest cost little; the queue wants HALERS, HALER, HALES (29.7 points a game between 8 words); enumerability 3.9 is inside the 2-6 band, so it also works as something to scan for on a board.
15	AINT	4	False	par	4.5606	35.026	34.712	0	1.569	7.68	10	10	7	20	149	128	228	0.096684	277	2.5088	3.3321	3.3321	observed	True	0.51797	3767.1	55	0.29621	4.5606	SAINTS SAINT DAINT DAINTS PAINT TAINT HAINT HAINTS FAINT TAINTS	AINT- is on 10% of your boards; you already own 7 of the 228 words on it (128 of them extend the stem's own path), so the rest cost little; the queue wants SAINTS, SAINT, DAINT (34.7 points a game between 10 words); enumerability 3.3 is inside the 2-6 band, so it also works as something to scan for on a board; 55 dead affixes worth 1.6 points a game in avoided misswipes at the current weight.
16	LOSE	4	True	par	4.3638	20.422	20.228	0.093077	0.50859	4.68	5	5	9	14	133	130	218	0.081326	233	3.0113	3.1717	3.1717	observed	True	0.52227	2371.6	53	0.11415	4.3638	LOSERS LOSER CLOSE LOSED LOSEN	LOSE- is on 8% of your boards; you already own 9 of the 218 words on it (130 of them extend the stem's own path), so the rest cost little; the queue wants LOSERS, LOSER, CLOSE (20.3 points a game between 5 words); enumerability 3.2 is inside the 2-6 band, so it also works as something to scan for on a board; 53 dead affixes worth 0.5 points a game in avoided misswipes at the current weight.
17	TEAD	4	True	par	4.3347	9.883	9.7942	0	0.44414	2.28	1	1	4	15	43	32	68	0.072949	209	1.899	2.6316	2.6316	observed	True	0.53011	1911.5	56	0.11113	4.3347	STEAD	TEAD- is on 7% of your boards; you already own 4 of the 68 words on it (32 of them extend the stem's own path), so the rest cost little; the queue wants STEAD (9.8 points a game between 1 word); enumerability 2.6 is inside the 2-6 band, so it also works as something to scan for on a board.
18	SHIN	4	True	par	4.2781	14.888	14.84	0	0.24045	3.48	3	3	6	35	174	271	346	0.045375	130	4.0088	4.7154	4.6268	calibrated	True	0.50323	3354.6	49	0.096726	4.2781	SHINER SHINE SHINS	SHIN- is on 5% of your boards; you already own 6 of the 346 words on it (271 of them extend the stem's own path), so the rest cost little; the queue wants SHINER, SHINE, SHINS (14.8 points a game between 3 words); enumerability 4.6 is inside the 2-6 band, so it also works as something to scan for on a board.
19	ATES	4	True	par	4.2544	35.227	27.12	11.618	3.5787	8.28	11	10	82	104	834	661	1239	0.2349	673	6.2426	7.0624	7.0624	observed	False	0.49134	5205.4	47	0.27808	4.7649	REATES URATES ORATES DERATES PLATES YATES LATEST ELATES PRATES SATES ALATES	ATES- is on 23% of your boards; you already own 82 of the 1239 words on it (661 of them extend the stem's own path), so the rest cost little; the queue wants REATES, URATES, ORATES (38.7 points a game between 11 words); enumerability 7.1 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 47 dead affixes worth 3.6 points a game in avoided misswipes at the current weight.
20	EIST	4	False	alpha	4.2142	19.722	3.4518	15.725	2.7251	4.68	5	5	8	28	124	66	177	0.15812	453	1.972	2.7506	2.7506	observed	True	0.5583	2893	56	0.31459	4.2142	REIST HEIST REISTS DEIST GEIST	EIST- is on 16% of your boards; you already own 8 of the 177 words on it (66 of them extend the stem's own path), so the rest cost little; the queue wants REIST, HEIST, REISTS (19.2 points a game between 5 words); enumerability 2.8 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 2.7 points a game in avoided misswipes at the current weight.
21	TRAI	4	False	par	4.1677	17.004	16.677	0	1.6366	4.08	4	4	11	32	198	140	269	0.096335	276	2.8904	4.7609	4.7609	observed	True	0.50551	2836.3	55	0.31009	4.1677	TRAILS TRAIL STRAIN STRAIT	TRAI- is on 10% of your boards; you already own 11 of the 269 words on it (140 of them extend the stem's own path), so the rest cost little; the queue wants TRAILS, TRAIL, STRAIN (16.7 points a game between 4 words); enumerability 4.8 is inside the 2-6 band, so it also works as something to scan for on a board; 55 dead affixes worth 1.6 points a game in avoided misswipes at the current weight.
22	TERN	4	True	par	4.1506	24.405	17.53	6.7361	0.69754	5.88	7	7	14	30	192	143	284	0.13333	382	3.6743	4.1387	4.1387	observed	True	0.51079	5146.1	52	0.095491	4.1506	TERNES TERNE ALTERN STERNA TERNED TERNS STERN	TERN- is on 13% of your boards; you already own 14 of the 284 words on it (143 of them extend the stem's own path), so the rest cost little; the queue wants TERNES, TERNE, ALTERN (24.3 points a game between 7 words); enumerability 4.1 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
23	EENS	4	False	par	4.1416	16.898	16.7	0	0.98799	4.08	4	4	3	22	101	99	189	0.059337	170	2.4997	3.6294	2.8851	calibrated	True	0.53819	1403.4	51	0.30392	4.1416	REENS DEENS TEENS STEENS	EENS- is on 6% of your boards; you already own 3 of the 189 words on it (99 of them extend the stem's own path), so the rest cost little; the queue wants REENS, DEENS, TEENS (16.7 points a game between 4 words); enumerability 2.9 is inside the 2-6 band, so it also works as something to scan for on a board; 51 dead affixes worth 1.0 points a game in avoided misswipes at the current weight.
24	SNAR	4	True	par	3.9108	18.303	16.799	1.4027	0.50396	4.68	5	5	7	14	72	56	101	0.097033	278	2.6703	2.6942	2.6942	observed	True	0.56035	2961.2	46	0.094799	3.9108	SNARED SNARE SNARL SNARER SNARES	SNAR- is on 10% of your boards; you already own 7 of the 101 words on it (56 of them extend the stem's own path), so the rest cost little; the queue wants SNARED, SNARE, SNARL (18.2 points a game between 5 words); enumerability 2.7 is inside the 2-6 band, so it also works as something to scan for on a board; 46 dead affixes worth 0.5 points a game in avoided misswipes at the current weight.
25	STIL	4	False	par	3.9091	13.604	13.367	0	1.1837	3.48	3	3	13	24	141	122	212	0.078534	225	3.1947	3.3378	3.3378	observed	True	0.52753	2414.6	49	0.2751	3.9091	STILE STILT STILED	STIL- is on 8% of your boards; you already own 13 of the 212 words on it (122 of them extend the stem's own path), so the rest cost little; the queue wants STILE, STILT, STILED (13.4 points a game between 3 words); enumerability 3.3 is inside the 2-6 band, so it also works as something to scan for on a board; 49 dead affixes worth 1.2 points a game in avoided misswipes at the current weight.
26	RSE	3	False	alpha	3.8715	33.45	14.282	23.387	5.4585	8.64	11	10	75	148	614	488	1075	0.31344	898	3.1026	5.2762	5.2762	observed	True	0.39994	3204.2	58	0.31787	4.4862	ERAS SERA HEARSE HOARSE TORSEL NURSE GORSE CARSE TARSEL TERSE TERSER	RSE- is on 31% of your boards; you already own 75 of the 1075 words on it (488 of them extend the stem's own path), so the rest cost little; the queue wants ERAS, SERA, HEARSE (37.7 points a game between 11 words); enumerability 5.3 is inside the 2-6 band, so it also works as something to scan for on a board; 58 dead affixes worth 5.5 points a game in avoided misswipes at the current weight.
27	NNER	4	False	par	3.8648	11.131	10.951	0	0.89882	2.88	2	2	22	44	92	157	197	0.05096	146	2.8256	5.6438	3.2612	calibrated	True	0.54584	1272.1	59	0.32194	3.8648	INNER INNERS	NNER- is on 5% of your boards; you already own 22 of the 197 words on it (157 of them extend the stem's own path), so the rest cost little; the queue wants INNER, INNERS (11.0 points a game between 2 words); enumerability 3.3 is inside the 2-6 band, so it also works as something to scan for on a board; 59 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
28	ESTS	4	True	par	3.823	20.185	18.334	1.5848	1.3347	5.28	6	6	7	24	128	123	204	0.080977	232	3.2199	4.1767	4.1767	observed	True	0.54594	3125.7	52	0.30085	3.823	RESTS HESTS TESTS NESTS LESTS TRESTS	ESTS- is on 8% of your boards; you already own 7 of the 204 words on it (123 of them extend the stem's own path), so the rest cost little; the queue wants RESTS, HESTS, TESTS (19.9 points a game between 6 words); enumerability 4.2 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 1.3 points a game in avoided misswipes at the current weight.
29	ENTS	4	True	par	3.8021	26.919	25.009	1.466	2.2186	7.08	9	9	11	31	273	260	418	0.14136	405	4.1375	4.5827	4.5827	observed	True	0.51121	2875	50	0.28647	3.8021	SENTS TENTS DENTS PENTS GENTS CENTS IDENTS VENTS HENTS	ENTS- is on 14% of your boards; you already own 11 of the 418 words on it (260 of them extend the stem's own path), so the rest cost little; the queue wants SENTS, TENTS, DENTS (26.5 points a game between 9 words); enumerability 4.6 is inside the 2-6 band, so it also works as something to scan for on a board; 50 dead affixes worth 2.2 points a game in avoided misswipes at the current weight.
30	STEI	4	False	par	3.6639	12.751	6.2245	6.1068	2.0965	3.48	3	3	4	4	45	27	64	0.12042	345	0.864	1.6754	1.6754	observed	False	0.52193	1742	58	0.31778	3.6639	STEIL STEIN STEINS	STEI- is on 12% of your boards; you already own 4 of the 64 words on it (27 of them extend the stem's own path), so the rest cost little; the queue wants STEIL, STEIN, STEINS (12.3 points a game between 3 words); enumerability 1.7 is below the band, so it is a study item and not a board cue; 58 dead affixes worth 2.1 points a game in avoided misswipes at the current weight.
31	NIDE	4	True	par	3.6565	14.918	14.813	0	0.52805	4.08	4	4	2	4	53	32	68	0.079232	227	1.6649	2.1762	2.1762	observed	True	0.54673	2410.7	57	0.12165	3.6565	NIDES SNIDER SNIDE SNIDES	NIDE- is on 8% of your boards; you already own 2 of the 68 words on it (32 of them extend the stem's own path), so the rest cost little; the queue wants NIDES, SNIDER, SNIDE (14.8 points a game between 4 words); enumerability 2.2 is inside the 2-6 band, so it also works as something to scan for on a board; 57 dead affixes worth 0.5 points a game in avoided misswipes at the current weight.
32	ATEL	4	False	alpha	3.6474	10.505	0	10.261	1.215	2.88	2	2	9	4	96	101	154	0.069808	200	1.0705	1.745	1.745	observed	False	0.48749	2453.8	57	0.31769	3.6474	RATEL RATELS	ATEL- is on 7% of your boards; you already own 9 of the 154 words on it (101 of them extend the stem's own path), so the rest cost little; the queue wants RATEL, RATELS (10.3 points a game between 2 words); enumerability 1.7 is below the band, so it is a study item and not a board cue; 57 dead affixes worth 1.2 points a game in avoided misswipes at the current weight.
33	HALS	4	False	alpha	3.5433	10.205	0	10.091	0.56842	2.88	2	2	2	14	34	22	56	0.038394	110	1.8664	2.4636	2.1541	calibrated	True	0.61342	2142	52	0.27023	3.5433	HALSE HALSER	HALS- is on 4% of your boards; you already own 2 of the 56 words on it (22 of them extend the stem's own path), so the rest cost little; the queue wants HALSE, HALSER (10.1 points a game between 2 words); enumerability 2.2 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
34	HERE	4	True	par	3.4342	18.132	16.027	2.0157	0.44767	5.28	6	6	3	15	186	222	321	0.067365	193	3.2943	4.4197	3.8022	calibrated	True	0.50154	3287.8	52	0.1213	3.4342	SHERE THERES THERE HERETO HERES CHERE	HERE- is on 7% of your boards; you already own 3 of the 321 words on it (222 of them extend the stem's own path), so the rest cost little; the queue wants SHERE, THERES, THERE (18.0 points a game between 6 words); enumerability 3.8 is inside the 2-6 band, so it also works as something to scan for on a board.
35	RESI	4	False	alpha	3.4247	13.973	4.5672	8.7975	3.0398	4.08	4	4	21	49	233	141	353	0.18464	529	3.367	3.3989	3.3989	observed	True	0.51196	2054.4	54	0.3005	3.4247	RESIGN RESIDS RESIST RESIDE	RESI- is on 18% of your boards; you already own 21 of the 353 words on it (141 of them extend the stem's own path), so the rest cost little; the queue wants RESIGN, RESIDS, RESIST (13.4 points a game between 4 words); enumerability 3.4 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 3.0 points a game in avoided misswipes at the current weight.
36	EEST	4	False	alpha	3.4212	7.8004	0	7.553	1.2371	2.28	1	1	2	13	44	29	76	0.071204	204	1.2053	2.1275	2.1275	observed	True	0.58358	2028.3	57	0.31713	3.4212	REEST	EEST- is on 7% of your boards; you already own 2 of the 76 words on it (29 of them extend the stem's own path), so the rest cost little; the queue wants REEST (7.6 points a game between 1 word); enumerability 2.1 is inside the 2-6 band, so it also works as something to scan for on a board; 57 dead affixes worth 1.2 points a game in avoided misswipes at the current weight.
37	SALE	4	True	par	3.4149	9.8348	9.6915	0	0.71625	2.88	2	2	20	18	61	33	113	0.097731	280	1.3666	1.9893	1.9893	observed	False	0.53377	1324.5	52	0.13377	3.4149	SALET SALETS	SALE- is on 10% of your boards; you already own 20 of the 113 words on it (33 of them extend the stem's own path), so the rest cost little; the queue wants SALET, SALETS (9.7 points a game between 2 words); enumerability 2.0 is below the band, so it is a study item and not a board cue; 52 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
38	NITR	4	False	par	3.4126	13.923	10.434	3.1406	1.7435	4.08	4	4	8	8	72	58	104	0.10681	306	1.5401	2.7124	2.7124	observed	True	0.53002	2045.7	56	0.29796	3.4126	NITRES NITRE NITRO NITROS	NITR- is on 11% of your boards; you already own 8 of the 104 words on it (58 of them extend the stem's own path), so the rest cost little; the queue wants NITRES, NITRE, NITRO (13.6 points a game between 4 words); enumerability 2.7 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 1.7 points a game in avoided misswipes at the current weight.
39	ERIN	4	False	alpha	3.4017	15.92	0.27487	15.216	2.1445	4.68	5	5	19	76	441	499	823	0.1274	365	3.0911	3.5151	3.5151	observed	True	0.47178	4750.5	58	0.30725	3.4017	SERIN SERINE SERINS ERINGO SERING	ERIN- is on 13% of your boards; you already own 19 of the 823 words on it (499 of them extend the stem's own path), so the rest cost little; the queue wants SERIN, SERINE, SERINS (15.5 points a game between 5 words); enumerability 3.5 is inside the 2-6 band, so it also works as something to scan for on a board; 58 dead affixes worth 2.1 points a game in avoided misswipes at the current weight.
40	NET	3	True	par	3.3967	41.371	28.074	12.919	1.8926	12.18	16	16	23	81	442	450	697	0.29773	853	4.0228	4.0199	4.0199	observed	True	0.39882	3611.3	48	0.11603	3.3967	NETTS NETES NONETS TENT TEEN NONET NETE TENE SENT MANET NETT LIONET DENET LUNET GENET ETEN	NET- is on 30% of your boards; you already own 23 of the 697 words on it (450 of them extend the stem's own path), so the rest cost little; the queue wants NETTS, NETES, NONETS (41.0 points a game between 16 words); enumerability 4.0 is inside the 2-6 band, so it also works as something to scan for on a board; 48 dead affixes worth 1.9 points a game in avoided misswipes at the current weight.
41	ARIS	4	True	par	3.3116	15.498	9.0005	6.0929	2.0255	4.68	5	5	11	23	232	208	351	0.13368	383	3.5023	3.7781	3.7781	observed	True	0.51641	4463.2	52	0.27656	3.3116	ARISE ARISES PARIS LARIS GARIS	ARIS- is on 13% of your boards; you already own 11 of the 351 words on it (208 of them extend the stem's own path), so the rest cost little; the queue wants ARISE, ARISES, PARIS (15.1 points a game between 5 words); enumerability 3.8 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 2.0 points a game in avoided misswipes at the current weight.
42	SORT	4	True	par	3.3085	11.514	11.395	0	0.59266	3.48	3	3	7	29	96	57	151	0.10471	300	2.7155	2.84	2.84	observed	True	0.52821	2701.6	45	0.10331	3.3085	SORTES RESORT SORTS	SORT- is on 10% of your boards; you already own 7 of the 151 words on it (57 of them extend the stem's own path), so the rest cost little; the queue wants SORTES, RESORT, SORTS (11.4 points a game between 3 words); enumerability 2.8 is inside the 2-6 band, so it also works as something to scan for on a board; 45 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
43	ATER	4	False	par	3.2393	13.217	8.6339	3.8278	3.7739	4.08	4	4	98	99	420	326	725	0.22827	654	5.9865	6.9587	6.9587	observed	False	0.51822	2454.4	50	0.30177	3.2393	ELATER IRATER DOATER ELATERS	ATER- is on 23% of your boards; you already own 98 of the 725 words on it (326 of them extend the stem's own path), so the rest cost little; the queue wants ELATER, IRATER, DOATER (12.5 points a game between 4 words); enumerability 7.0 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 50 dead affixes worth 3.8 points a game in avoided misswipes at the current weight.
44	ENDS	4	True	par	3.239	15.159	14.938	0	1.1008	4.68	5	5	4	28	85	106	159	0.068761	197	3.1353	4.0406	3.6187	calibrated	True	0.55599	1434	51	0.29222	3.239	TENDS RENDS SENDS LENDS TRENDS	ENDS- is on 7% of your boards; you already own 4 of the 159 words on it (106 of them extend the stem's own path), so the rest cost little; the queue wants TENDS, RENDS, SENDS (14.9 points a game between 5 words); enumerability 3.6 is inside the 2-6 band, so it also works as something to scan for on a board; 51 dead affixes worth 1.1 points a game in avoided misswipes at the current weight.
45	NCE	3	False	alpha	3.2007	18.82	7.1238	11.401	1.4787	5.88	7	7	18	33	636	830	1113	0.084817	243	4.3879	9.2798	9.2798	observed	False	0.38492	10835	59	0.31822	3.2007	ONCES RANCE LANCE ONCE INCEST ONCER ANCE	NCE- is on 8% of your boards; you already own 18 of the 1113 words on it (830 of them extend the stem's own path), so the rest cost little; the queue wants ONCES, RANCE, LANCE (18.5 points a game between 7 words); enumerability 9.3 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 59 dead affixes worth 1.5 points a game in avoided misswipes at the current weight.
46	ITER	4	False	par	3.172	16.748	14.132	2.0291	2.9319	5.28	6	6	31	51	280	194	418	0.17661	506	3.5008	4.1304	4.1304	observed	True	0.52547	2507.6	54	0.30301	3.172	LOITER TITERS TITER BITER UNITER REITER	ITER- is on 18% of your boards; you already own 31 of the 418 words on it (194 of them extend the stem's own path), so the rest cost little; the queue wants LOITER, TITERS, TITER (16.2 points a game between 6 words); enumerability 4.1 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 2.9 points a game in avoided misswipes at the current weight.
47	AIRE	4	False	par	3.1602	10.997	10.596	0	2.0058	3.48	3	3	11	29	115	71	170	0.12496	358	2.3425	3.2682	3.2682	observed	True	0.55956	1783.8	55	0.293	3.1602	MAIRE SAIRED LAIRED	AIRE- is on 12% of your boards; you already own 11 of the 170 words on it (71 of them extend the stem's own path), so the rest cost little; the queue wants MAIRE, SAIRED, LAIRED (10.6 points a game between 3 words); enumerability 3.3 is inside the 2-6 band, so it also works as something to scan for on a board; 55 dead affixes worth 2.0 points a game in avoided misswipes at the current weight.
48	INED	4	False	par	3.1378	18.45	15.248	2.8259	1.8801	5.88	7	7	16	63	220	212	358	0.11937	342	4.4261	5.5322	5.5322	observed	True	0.53449	3412.9	50	0.28749	3.1378	ALINED TINED REINED TRINED SEINED ROINED DINED	INED- is on 12% of your boards; you already own 16 of the 358 words on it (212 of them extend the stem's own path), so the rest cost little; the queue wants ALINED, TINED, REINED (18.1 points a game between 7 words); enumerability 5.5 is inside the 2-6 band, so it also works as something to scan for on a board; 50 dead affixes worth 1.9 points a game in avoided misswipes at the current weight.
49	TREA	4	False	par	3.1182	10.851	10.491	0	1.8022	3.48	3	3	19	40	176	121	263	0.10855	311	2.087	2.8489	2.8489	observed	True	0.50201	4011.5	56	0.30305	3.1182	TREAD TREAT TREATS	TREA- is on 11% of your boards; you already own 19 of the 263 words on it (121 of them extend the stem's own path), so the rest cost little; the queue wants TREAD, TREAT, TREATS (10.5 points a game between 3 words); enumerability 2.8 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 1.8 points a game in avoided misswipes at the current weight.
50	NOR	3	True	par	3.105	40.428	25.598	14.148	3.4071	13.02	18	18	11	41	315	266	454	0.19302	553	3.38	5.4286	5.4286	observed	True	0.40176	5743.5	59	0.32219	3.105	SNORE SNORT SNORES SNORED IRON SENOR SENORS ROIN NORTH SNORTS TENOR MORN NORMA MINOR SENORA ENORM NORIA NORIS	NOR- is on 19% of your boards; you already own 11 of the 454 words on it (266 of them extend the stem's own path), so the rest cost little; the queue wants SNORE, SNORT, SNORES (39.7 points a game between 18 words); enumerability 5.4 is inside the 2-6 band, so it also works as something to scan for on a board; 59 dead affixes worth 3.4 points a game in avoided misswipes at the current weight.
51	RST	3	False	alpha	3.087	20.004	1.5318	17.636	4.1785	6.48	8	8	10	27	207	155	302	0.23665	678	1.0412	2.4646	2.4646	observed	True	0.40101	2004.5	60	0.32229	3.087	HORSTE HORST EARST PEARST WORST PIERST FIRST PERST	RST- is on 24% of your boards; you already own 10 of the 302 words on it (155 of them extend the stem's own path), so the rest cost little; the queue wants HORSTE, HORST, EARST (19.2 points a game between 8 words); enumerability 2.5 is inside the 2-6 band, so it also works as something to scan for on a board; 60 dead affixes worth 4.2 points a game in avoided misswipes at the current weight.
