key	len	boards	present	found	foundByOpp	cellmateMissedPts	missedPts	completion
ELORS	5	587	1718	547	586	540000	936800	0.3184
AIRT	4	1271	3737	986	540	530400	1100400	0.2638
ALST	4	1191	3669	1671	1358	530000	799200	0.4554
AEMS	4	846	3132	794	724	527200	935200	0.2535
ENORT	5	722	1929	606	751	524800	1058400	0.3142
EHORS	5	529	1711	379	473	520000	1065600	0.2215
ANST	4	1365	3747	1233	797	516000	1005600	0.3291
EILR	4	1106	3554	950	783	512800	1041600	0.2673
AEPST	5	503	1557	658	641	512000	719200	0.4226
AEINRST	7	412	1061	245	174	511200	1468800	0.2309
AINT	4	1205	3398	816	533	487200	1032800	0.2401
AILRS	5	541	1689	386	333	480000	1042400	0.2285
EILRS	5	614	1772	394	378	478400	1102400	0.2223
AEMNS	5	451	1489	335	361	477600	923200	0.225
AEMRST	6	317	913	298	293	474600	861000	0.3264
DEER	4	1174	3657	809	936	473200	1139200	0.2212
EIMST	5	429	1470	395	391	472000	860000	0.2687
EERS	4	1908	4880	1158	1146	472000	1488800	0.2373
EINT	4	1353	3382	1409	1386	466000	789200	0.4166
EIST	4	1606	3890	1647	1048	464800	897200	0.4234
AELPS	5	380	1327	344	367	464800	786400	0.2592
DENS	4	1143	3508	823	654	464400	1074000	0.2346
AEHST	5	683	1899	698	758	462400	960800	0.3676
AEPRST	6	317	908	368	335	460600	756000	0.4053
AEHT	4	892	2815	719	773	457600	838400	0.2554
AEERS	5	699	1790	420	485	452000	1096000	0.2346
ADEIR	5	596	1647	370	275	451200	1021600	0.2247
IORST	5	782	2574	271	211	443200	1842400	0.1053
CEIRS	5	491	1557	300	298	437600	1005600	0.1927
AERSS	5	567	1518	506	423	436800	809600	0.3333
AEGRS	5	350	1235	428	380	436800	645600	0.3466
AIST	4	1515	4208	657	404	433600	1420400	0.1561
EINS	4	1130	2995	844	601	432000	860400	0.2818
AELSS	5	507	1421	412	432	424000	807200	0.2899
ILST	4	975	2991	1027	832	421200	785600	0.3434
AEMST	5	508	1451	666	601	414400	628000	0.459
AEIRS	5	727	1945	350	322	413600	1276000	0.1799
DEIS	4	936	2841	653	484	412400	875200	0.2298
AORST	5	761	2110	389	365	410400	1376800	0.1844
ERS	3	4411	11843	3312	2630	402700	853100	0.2797
APST	4	648	2299	929	815	399200	548000	0.4041
AEHLS	5	431	1417	340	479	397600	861600	0.2399
AEMT	4	809	2505	1157	1077	394000	539200	0.4619
AELN	4	894	2580	781	695	392000	719600	0.3027
APRST	5	437	1370	365	394	388800	804000	0.2664
AELMS	5	337	1092	330	308	388800	609600	0.3022
DEIL	4	816	2754	432	272	386400	928800	0.1569
AEPR	4	704	2327	971	967	386400	542400	0.4173
INST	4	1269	3377	785	675	384800	1036800	0.2325
EINSS	5	544	1537	260	241	384800	1021600	0.1692
EELS	4	891	2795	573	552	382000	888800	0.205
DEIRS	5	573	1544	455	435	381600	871200	0.2947
ENRST	5	823	2028	470	478	379200	1246400	0.2318
AELSST	6	286	762	274	281	376600	683200	0.3596
EILRT	5	621	1648	722	707	375200	740800	0.4381
ABEST	5	339	1110	408	370	372000	561600	0.3676
ERSU	4	819	2852	596	566	369600	902400	0.209
AELNS	5	508	1386	406	368	369600	784000	0.2929
DEIN	4	983	2851	592	572	367200	903600	0.2076
EILNS	5	469	1276	264	272	363200	809600	0.2069
EIPRS	5	435	1326	380	385	360800	756800	0.2866
AENSS	5	499	1397	301	307	360800	876800	0.2155
ADELS	5	407	1179	466	438	360000	570400	0.3953
EELST	5	519	1627	416	567	356000	968800	0.2557
AILT	4	812	2460	585	476	350800	750000	0.2378
GINS	4	712	2208	509	496	345200	679600	0.2305
AINRS	5	544	1431	334	270	343200	877600	0.2334
AELM	4	603	1992	751	699	342400	496400	0.377
ACER	4	797	2278	1026	881	342400	500800	0.4504
ADEIRS	6	313	825	178	150	338800	905800	0.2158
EERSST	6	377	965	201	260	337400	1069600	0.2083
ESTT	4	1013	2911	784	659	334400	850800	0.2693
AETT	4	829	2142	684	687	332000	583200	0.3193
ELNO	4	743	2237	473	445	330000	705600	0.2114
ADIS	4	759	2471	430	263	327600	816400	0.174
AILS	4	826	2343	617	462	326000	690400	0.2633
AEGR	4	535	1891	679	597	325600	484800	0.3591
AST	3	2942	8168	3082	2541	324100	508600	0.3773
EOPST	5	310	1052	231	291	323200	656800	0.2196
AER	3	3884	10545	3050	2130	320000	749500	0.2892
AES	3	2999	8358	3274	2572	317800	508400	0.3917
AEMN	4	612	1971	570	540	315600	560400	0.2892
EENS	4	1076	3355	424	527	315600	1172400	0.1264
EORRST	6	217	659	153	159	315000	708400	0.2322
ABERS	5	311	961	352	319	312800	487200	0.3663
AOST	4	1132	3353	674	382	312000	1071600	0.201
AEERSST	7	211	542	180	173	309600	651600	0.3321
ELST	4	1226	3406	851	619	306800	1022000	0.2499
APRT	4	732	2043	683	644	306400	544000	0.3343
ADELST	6	218	611	234	209	303800	527800	0.383
ELOS	4	746	2065	640	572	303200	570000	0.3099
AEILNS	6	295	786	174	149	301000	856800	0.2214
ADEERST	7	200	535	135	136	300600	720000	0.2523
EST	3	4122	11362	2617	2002	299400	874500	0.2303
AEERT	5	650	1532	462	393	298400	856000	0.3016
AEHRS	5	544	1351	531	654	297600	656000	0.393
EILT	4	793	1984	900	883	296800	433600	0.4536
ART	3	3055	8226	4468	3773	295600	375800	0.5432
ANRST	5	530	1272	417	407	295200	684000	0.3278
DELOS	5	357	1048	293	314	293600	604000	0.2796
EOPRST	6	193	637	198	208	291200	614600	0.3108
ENOR	4	1235	3164	523	553	289200	1056400	0.1653
AEGRT	5	408	1107	276	336	288800	664800	0.2493
ENNOST	6	170	540	113	123	288400	597800	0.2093
EPST	4	662	2181	535	462	286800	658400	0.2453
AEMRT	5	336	977	299	272	285600	542400	0.306
AERRS	5	507	1201	381	379	284000	656000	0.3172
ARS	3	2874	7647	3375	2575	282600	427200	0.4413
EIMR	4	528	1828	318	327	278400	604000	0.174
AEILN	5	527	1340	208	191	277600	905600	0.1552
AORT	4	925	2981	478	484	277200	1001200	0.1603
OPST	4	469	1634	587	515	275600	418800	0.3592
AEILRS	6	320	819	170	152	273000	908600	0.2076
EIMRT	5	344	1009	440	402	272800	455200	0.4361
AEMRS	5	418	1102	512	456	271200	472000	0.4646
ACDER	5	311	882	238	227	270400	515200	0.2698
EIMRST	6	229	646	274	264	270200	520800	0.4241
EIMRS	5	314	912	237	249	269600	540000	0.2599
ACEST	5	437	1087	393	411	268800	555200	0.3615
DEORST	6	233	612	175	190	268800	611800	0.2859
INS	3	2493	6683	2112	1700	268500	457100	0.316
CEIR	4	606	1811	472	392	268000	535600	0.2606
AEIRST	6	569	1370	130	65	267400	1736000	0.09489
AENPS	5	299	914	198	241	265600	572800	0.2166
EENRT	5	468	1182	356	399	264800	660800	0.3012
EIRSTT	6	302	738	227	219	264600	715400	0.3076
DENORS	6	232	614	141	152	264600	662200	0.2296
DEIR	4	702	1938	566	529	264400	548800	0.2921
HIST	4	622	1927	580	489	263600	538800	0.301
EIMT	4	478	1490	553	509	261200	374800	0.3711
IST	3	2625	7236	2129	1607	260900	510700	0.2942
AEORST	6	336	802	206	182	260400	834400	0.2569
AHST	4	641	1859	843	747	256800	406400	0.4535
AELPST	6	195	588	130	152	256200	641200	0.2211
OORST	5	302	899	258	252	256000	512800	0.287
AINS	4	950	2214	765	495	255600	579600	0.3455
ADEL	4	587	1753	744	701	255200	403600	0.4244
AERRT	5	307	966	210	204	255200	604800	0.2174
AEHRT	5	437	1121	254	321	255200	693600	0.2266
ADEILR	6	269	718	131	169	254800	821800	0.1825
AEPS	4	606	1791	482	398	254000	523600	0.2691
ARSTT	5	506	1306	398	415	253600	726400	0.3047
AINR	4	857	1935	740	580	253600	478000	0.3824
AEORT	5	510	1259	399	322	252000	688000	0.3169
IORT	4	895	2788	280	230	251200	1003200	0.1004
AEGRST	6	214	574	156	195	247800	585200	0.2718
ELOST	5	335	884	330	352	247200	443200	0.3733
EOPRS	5	293	880	422	401	245600	366400	0.4795
AEELST	6	224	578	151	160	245000	597800	0.2612
ABELS	5	253	781	249	226	241600	425600	0.3188
EGORS	5	299	925	159	147	240800	612800	0.1719
EIRSST	6	233	611	146	108	239400	651000	0.239
ABEL	4	351	1256	368	313	236800	355200	0.293
AERSW	5	245	742	244	254	236000	398400	0.3288
ADEEST	6	195	512	170	133	233800	478800	0.332
EFIRS	5	296	866	149	183	233600	573600	0.1721
ELOR	4	657	1704	484	474	231600	488000	0.284
EHIRS	5	376	993	277	320	231200	572800	0.279
ADEERS	6	234	593	135	172	229600	641200	0.2277
EILPS	5	215	724	224	203	228800	400000	0.3094
ADET	4	644	1674	626	477	226800	419200	0.374
ANS	3	2229	5911	1898	1458	226500	401300	0.3211
ASTW	4	400	1393	504	459	226000	355600	0.3618
ACES	4	602	1575	526	366	226000	419600	0.334
ANT	3	2339	6248	3085	2202	224400	316300	0.4938
ACST	4	636	1726	768	653	223600	383200	0.445
AORS	4	914	2519	466	350	221600	821200	0.185
AERTT	5	521	1193	246	303	221600	757600	0.2062
AEPRSS	6	163	467	123	171	221200	481600	0.2634
IRST	4	1248	2496	835	741	221200	664400	0.3345
AIR	3	2081	5708	2419	1727	220400	328900	0.4238
EILRST	6	324	767	387	377	219800	532000	0.5046
NOST	4	889	2311	442	418	218000	747600	0.1913
AEPT	4	398	1259	631	552	215200	251200	0.5012
CEIT	4	589	1471	492	437	215200	391600	0.3345
AIT	3	1916	5381	1722	1028	213900	365900	0.32
EHST	4	848	2364	577	473	212000	714800	0.2441
EMOS	4	457	1339	350	312	211200	395600	0.2614
ORT	3	2041	5503	2526	2129	210900	297700	0.459
HOST	4	548	1623	561	467	208400	424800	0.3457
EORSTU	6	164	457	187	191	207200	378000	0.4092
ABELST	6	133	481	93	97	207200	543200	0.1933
AEENST	6	368	938	102	100	207200	1170400	0.1087
HINS	4	564	1693	277	294	206400	566400	0.1636
AIMN	4	480	1398	447	359	206000	380400	0.3197
ACERSS	6	180	495	84	98	205800	575400	0.1697
CEIST	5	270	699	212	198	204800	389600	0.3033
ADRST	5	365	984	182	223	203200	641600	0.185
APRS	4	418	1312	522	465	202800	316000	0.3979
AEELS	5	326	943	264	201	202400	543200	0.28
AELP	4	411	1217	432	411	202400	314000	0.355
EHOR	4	508	1508	307	329	200000	480400	0.2036
EIPS	4	506	1412	495	334	198800	366800	0.3506
EERSTT	6	202	480	154	167	198800	456400	0.3208
DEENS	5	355	988	229	288	196800	607200	0.2318
EELRS	5	311	823	280	270	195200	434400	0.3402
EMOST	5	228	629	228	223	195200	320800	0.3625
EEMST	5	250	823	191	245	193600	505600	0.2321
EORTT	5	294	735	279	329	193600	364800	0.3796
DEILST	6	176	465	128	139	193200	471800	0.2753
ADIR	4	678	1785	303	281	192800	592800	0.1697
ADEERR	6	150	424	103	106	191800	449400	0.2429
ALS	3	1876	4923	2197	1806	189800	272600	0.4463
AEGN	4	507	1554	274	218	189600	512000	0.1763
EGINRS	6	208	564	86	120	187600	669200	0.1525
CEOST	5	272	695	282	234	187200	330400	0.4058
EEMS	4	492	1592	262	296	185200	532000	0.1646
EENT	4	1015	2538	410	531	184800	851200	0.1615
EINPS	5	255	685	206	253	182400	383200	0.3007
AEINRT	6	223	495	195	117	182000	420000	0.3939
EERT	4	669	1600	627	548	180800	389200	0.3919
AEINRS	6	225	504	111	97	180600	550200	0.2202
EGOR	4	426	1398	251	202	180400	458800	0.1795
AILN	4	526	1365	366	330	180000	399600	0.2681
AGINRS	6	138	352	114	71	177800	333200	0.3239
ADENRS	6	177	428	104	96	177800	453600	0.243
EMORS	5	289	812	256	240	177600	444800	0.3153
AHS	3	1150	3932	1420	1183	177600	251200	0.3611
EORSW	5	207	643	116	102	176800	421600	0.1804
AHRT	4	564	1527	315	284	176400	484800	0.2063
INPS	4	455	1278	327	359	175600	380400	0.2559
EORT	4	865	1730	837	827	174000	357200	0.4838
NOS	3	1738	4677	1511	1242	172500	316600	0.3231
EFIR	4	354	1214	233	222	172400	392400	0.1919
ACENRT	6	207	528	128	110	172200	560000	0.2424
ADRT	4	638	1524	386	468	170800	455200	0.2533
ABELR	5	221	676	120	136	169600	444800	0.1775
ABER	4	381	1029	384	381	169600	258000	0.3732
AEILNR	6	224	530	125	133	169400	567000	0.2358
OSTW	4	257	966	238	200	168800	291200	0.2464
ORSTU	5	211	627	204	210	168800	338400	0.3254
EOPS	4	313	1008	182	169	168400	330400	0.1806
EEPRS	5	302	847	258	247	166400	471200	0.3046
EIRSS	5	363	831	214	293	165600	493600	0.2575
ENOSST	6	223	586	69	104	163800	723800	0.1177
ADEELR	6	162	406	121	131	163800	399000	0.298
DENO	4	441	1118	349	375	163200	307600	0.3122
ADEERT	6	236	526	150	164	162400	526400	0.2852
AEGNR	5	224	639	130	141	162400	407200	0.2034
LOOST	5	219	602	180	171	161600	337600	0.299
ESTW	4	350	1223	296	278	161600	370800	0.242
DENR	4	677	1543	338	335	160800	482000	0.2191
ILOS	4	533	1422	397	285	159600	410000	0.2792
DELO	4	448	1255	345	333	159600	364000	0.2749
CEORST	6	150	368	107	89	158200	365400	0.2908
ENSST	5	349	768	215	227	157600	442400	0.2799
ADNS	4	485	1263	370	261	156000	357200	0.293
AEMNR	5	274	683	184	145	155200	399200	0.2694
DEN	3	1924	4967	1519	1133	154700	344800	0.3058
COST	4	426	1193	446	353	154400	298800	0.3738
ABET	4	277	845	300	247	154000	218000	0.355
AELPT	5	258	761	108	118	153600	522400	0.1419
DENOR	5	294	711	194	173	153600	413600	0.2729
ARSTW	5	174	527	121	124	153600	324800	0.2296
ACENR	5	279	774	110	172	152800	531200	0.1421
EERSS	5	337	910	150	184	152000	608000	0.1648
ILNO	4	473	1445	217	215	151600	491200	0.1502
CEIRT	5	237	612	146	164	151200	372800	0.2386
ACOST	5	242	676	189	171	150400	389600	0.2796
ACEHRS	6	147	382	116	138	149800	372400	0.3037
ANPS	4	416	1116	325	291	148400	316400	0.2912
AEHR	4	550	1275	461	504	148400	325600	0.3616
ELT	3	2046	5247	1366	1042	148300	388100	0.2603
AEGINRS	7	126	308	75	73	147600	419400	0.2435
AEGINT	6	175	438	81	59	147000	499800	0.1849
AEGNRS	6	112	301	90	89	147000	295400	0.299
EOPRT	5	202	543	169	175	146400	299200	0.3112
ABST	4	359	1074	441	378	146000	253200	0.4106
HOS	3	1289	3800	1012	966	145400	278800	0.2663
ADENS	5	286	707	141	155	144800	452800	0.1994
DEIRT	5	353	823	220	248	144800	482400	0.2673
ACDE	4	280	915	206	188	144000	283600	0.2251
DORS	4	465	1225	332	246	143600	357200	0.271
AELSV	5	125	412	113	127	143200	239200	0.2743
EORSTT	6	148	338	138	159	142800	280000	0.4083
ARTT	4	929	1858	539	530	142800	527600	0.2901
EELR	4	562	1401	491	488	141600	364000	0.3505
AGNST	5	218	621	140	140	141600	384800	0.2254
CEORS	5	290	734	346	371	140800	310400	0.4714
ERSSU	5	227	611	119	122	140000	393600	0.1948
EENSS	5	304	857	119	131	139200	590400	0.1389
EIMN	4	361	906	285	283	138800	248400	0.3146
INT	3	2511	5022	2776	2467	138800	224600	0.5528
EINNRS	6	135	321	79	105	138600	338800	0.2461
AEELRST	7	140	337	97	123	138600	432000	0.2878
ASTT	4	740	1480	656	580	138400	329600	0.4432
EIRTT	5	350	850	315	293	137600	428000	0.3706
AGNR	4	447	1068	290	297	137600	311200	0.2715
AGST	4	347	1027	376	301	136400	260400	0.3661
NORT	4	613	1402	383	410	136000	407600	0.2732
EIPST	5	225	559	138	137	136000	336800	0.2469
EELSST	6	101	298	62	99	135800	330400	0.2081
DOS	3	1057	3322	844	684	135600	247800	0.2541
AILNS	5	240	659	141	133	135200	414400	0.214
ADEER	5	283	695	173	186	135200	417600	0.2489
ADEINST	7	143	359	73	82	135000	514800	0.2033
EOR	3	1960	5513	888	653	134900	462500	0.1611
EEINRT	6	208	488	76	53	134400	576800	0.1557
AENSST	6	193	427	116	161	134400	435400	0.2717
NORST	5	377	879	136	205	133600	594400	0.1547
AENP	4	318	886	296	285	133600	236000	0.3341
EINR	4	719	1438	483	502	133200	382000	0.3359
DEIRST	6	233	539	91	116	133000	627200	0.1688
EMST	4	645	1613	307	251	132800	522400	0.1903
ENT	3	2905	5810	1960	1820	132400	385000	0.3373
DEENST	6	170	416	76	80	131600	476000	0.1827
AEGINST	7	135	349	89	84	131400	468000	0.255
AIMNS	5	205	504	157	138	131200	277600	0.3115
ADEMN	5	161	483	109	107	131200	299200	0.2257
DEOS	4	628	1475	395	343	130400	432000	0.2678
ABERST	6	111	271	95	79	130200	246400	0.3506
EMOR	4	439	1046	225	197	129600	328400	0.2151
AGNS	4	339	962	253	219	129600	283600	0.263
AEEST	5	285	570	164	137	129600	324800	0.2877
AELV	4	211	754	162	161	129200	236800	0.2149
ABDER	5	169	465	119	128	127200	276800	0.2559
AGNT	4	404	941	279	257	126800	264800	0.2965
AILP	4	295	933	168	165	126400	306000	0.1801
ENOT	4	615	1230	630	752	125600	240000	0.5122
DINS	4	500	1159	366	269	124400	317200	0.3158
ADEIRST	7	199	509	44	56	124200	837000	0.08644
INOR	4	854	2644	126	163	123600	1007200	0.04766
APS	3	868	2782	1177	1011	122600	160500	0.4231
EEHRS	5	317	785	248	270	122400	429600	0.3159
ACLO	4	302	995	180	142	122400	326000	0.1809
EILSS	5	220	547	103	124	122400	355200	0.1883
EILN	4	504	1008	417	423	122000	236400	0.4137
DEI	3	1453	4104	786	618	121900	331800	0.1915
DEERST	6	170	376	83	76	121800	410200	0.2207
ENOSS	5	292	642	139	182	120800	402400	0.2165
ACELR	5	231	517	167	168	120000	280000	0.323
EILMS	5	185	475	208	226	120000	213600	0.4379
EELT	4	504	1221	349	414	119200	348800	0.2858
AEIRSS	6	131	305	82	90	119000	312200	0.2689
AEILRT	6	181	390	104	112	119000	400400	0.2667
AIMR	4	375	1195	155	155	118400	416000	0.1297
ADELT	5	213	499	144	98	117600	284000	0.2886
DEHORS	6	114	295	67	83	117600	319200	0.2271
AHRST	5	295	675	131	163	117600	435200	0.1941
ALOST	5	292	789	100	68	116800	551200	0.1267
DEILT	5	235	534	218	165	116800	252800	0.4082
ENRT	4	579	1158	445	415	116400	285200	0.3843
EEINRS	6	317	806	57	33	116200	1048600	0.07072
AEFST	5	192	538	144	153	116000	315200	0.2677
EINNR	5	323	783	132	168	116000	520800	0.1686
ALPS	4	351	1034	198	205	116000	334400	0.1915
AIMS	4	526	1415	230	163	116000	474000	0.1625
DENST	5	261	585	218	248	116000	293600	0.3726
ACELS	5	161	398	107	136	115200	232800	0.2688
AINPS	5	217	591	113	125	115200	382400	0.1912
ADEPRS	6	103	267	75	93	114800	268800	0.2809
DEENRT	6	123	274	84	99	114800	266000	0.3066
CDEI	4	208	696	229	195	114800	186800	0.329
INRST	5	476	952	143	128	114400	647200	0.1502
ACNR	4	443	1042	239	239	113600	321200	0.2294
DEIMST	6	86	241	50	41	113400	267400	0.2075
ADEPRT	6	105	271	71	69	113400	280000	0.262
ACEPRS	6	89	259	70	84	113400	264600	0.2703
AINSST	6	109	238	86	93	113400	212800	0.3613
AMST	4	444	1063	509	431	113200	221600	0.4788
ACRS	4	363	886	327	300	113200	223600	0.3691
EHS	3	1359	3831	812	848	112900	301900	0.212
DEEST	5	317	769	119	179	112800	520000	0.1547
ADELN	5	194	522	106	104	112800	332800	0.2031
ENNOT	5	241	629	64	110	112800	452000	0.1017
ELOPS	5	119	335	120	136	112000	172000	0.3582
AEGINR	6	148	374	83	73	112000	407400	0.2219
AEGST	5	183	462	139	146	112000	258400	0.3009
AEMSS	5	177	448	198	182	112000	200000	0.442
DEES	4	628	1256	366	341	111200	356000	0.2914
ACEN	4	303	771	222	207	110400	219600	0.2879
ADDER	5	207	584	78	83	110400	404800	0.1336
GINR	4	326	746	269	251	110000	190800	0.3606
DNOS	4	449	1097	243	170	109200	341600	0.2215
EHIST	5	245	592	106	107	108800	388800	0.1791
EFIN	4	286	837	121	135	108800	286400	0.1446
ACOT	4	468	1228	154	154	108800	429600	0.1254
EHRS	4	696	1766	174	144	108400	636800	0.09853
INORS	5	456	1226	76	106	108000	920000	0.06199
EOPR	4	281	772	367	345	107200	162000	0.4754
AINP	4	271	755	128	130	106800	250800	0.1695
ACENS	5	182	403	116	119	106400	229600	0.2878
DERU	4	273	802	177	161	106400	250000	0.2207
ADEORT	6	140	321	75	71	106400	344400	0.2336
EIPR	4	277	725	235	187	106000	196000	0.3241
EENRS	5	351	790	115	172	105600	540000	0.1456
ADEHS	5	212	528	127	170	105600	320800	0.2405
ADHS	4	264	804	198	204	105600	242400	0.2463
CDEIR	5	146	395	113	146	105600	225600	0.2861
IMST	4	380	902	283	261	105200	247600	0.3137
ADIL	4	432	1033	242	211	105200	316400	0.2343
EGINS	5	227	506	98	101	104800	326400	0.1937
ADERR	5	203	467	127	103	104800	272000	0.2719
AEILRST	7	121	274	68	69	104400	370800	0.2482
AORTT	5	295	723	94	99	104000	503200	0.13
EGINST	6	109	282	92	112	103600	266000	0.3262
ADEINR	6	114	268	81	52	103600	261800	0.3022
AMNO	4	258	805	158	123	103200	258800	0.1963
OSTT	4	370	925	286	196	102800	255600	0.3092
IPST	4	315	833	282	250	102800	220400	0.3385
AEEMRS	6	102	254	73	60	102200	253400	0.2874
ACET	4	399	798	375	400	102000	169200	0.4699
AMNOS	5	192	531	85	55	101600	356800	0.1601
AEKRS	5	93	279	90	90	101600	151200	0.3226
EPRST	5	360	987	74	87	101600	730400	0.07497
CEOS	4	289	783	148	112	101200	254000	0.189
AERV	4	174	576	160	176	101200	166400	0.2778
AEL	3	1571	3142	1386	1148	101000	175600	0.4411
AEHLSS	6	110	278	50	83	100800	319200	0.1799
EESS	4	676	1837	117	89	100800	688000	0.06369
EIMNS	5	152	355	109	113	100800	196800	0.307
AEIRRS	6	130	294	87	54	100800	289800	0.2959
ENSTT	5	313	699	218	255	100800	384800	0.3119
EFST	4	328	893	234	183	100400	263600	0.262
EHOS	4	406	985	348	329	100000	254800	0.3533
AENRST	6	271	598	63	45	99400	749000	0.1054
DEGINR	6	117	280	69	65	99400	295400	0.2464
ADS	3	1247	3183	853	664	99100	233000	0.268
AMS	3	1021	2638	1098	992	98700	154000	0.4162
DELS	4	735	1844	192	149	98400	660800	0.1041
CINO	4	339	971	149	125	98000	328800	0.1535
DEENRS	6	123	293	104	102	98000	264600	0.3549
AEPRRS	6	100	252	87	89	98000	231000	0.3452
AEHPRS	6	136	420	29	37	98000	547400	0.06905
AESSTT	6	122	261	107	131	98000	215600	0.41
ABES	4	291	711	240	196	97600	188400	0.3376
ACEPR	5	126	328	121	126	97600	165600	0.3689
ENR	3	1780	3560	1045	920	97100	251500	0.2935
AEN	3	2455	6688	628	603	96900	606000	0.0939
DENRU	5	199	535	88	99	96800	357600	0.1645
ELRSTU	6	109	296	40	50	96600	358400	0.1351
AEIMRS	6	144	360	59	45	96600	421400	0.1639
DOR	3	1016	2643	1018	909	96500	162500	0.3852
ENS	3	2236	4472	1086	883	96200	338600	0.2428
ADNR	4	387	862	264	223	96000	239200	0.3063
DEEN	4	445	1094	235	268	96000	343600	0.2148
DEORTU	6	71	186	53	60	95200	186200	0.2849
EINRSS	6	157	374	57	69	95200	443800	0.1524
AINRST	6	182	428	101	149	95200	457800	0.236
ELOSS	5	158	359	124	116	95200	188000	0.3454
AILM	4	302	737	253	189	94800	193600	0.3433
ADEH	4	395	1069	167	186	94800	360800	0.1562
AINRT	5	258	572	98	117	94400	379200	0.1713
DERSU	5	145	342	109	102	94400	186400	0.3187
ACNST	5	172	399	128	144	94400	216800	0.3208
EORTU	5	164	392	167	171	94400	180000	0.426
DEL	3	1431	3633	816	618	94400	281700	0.2246
