stem	boards	size	ptsNoneOpened	youCompletion	topQCompletion	frontierCompletion	uncontestedPerGame
TATE	222	7.1486	1028200	0.50081	0.56579	0.56536	358.88
IRES	541	4.2847	1017400	0.47709	0.44242	0.52581	355.11
DIES	251	4.8127	976600	0.32379	0.31111	0.34024	340.87
LIST	268	5.5112	963000	0.40127	0.41379	0.42964	336.13
ANTS	331	5.4381	947000	0.41595	0.40303	0.46939	330.54
ROSE	398	5	932200	0.43833	0.37546	0.45272	325.38
RITE	369	4.1924	923400	0.44268	0.42	0.47157	322.3
ERES	406	5.1108	922000	0.43557	0.42246	0.47115	321.82
TORS	319	4.5329	906000	0.43165	0.46341	0.43523	316.23
LIER	300	4.86	895800	0.40556	0.3622	0.42174	312.67
ALES	411	5.1825	876400	0.46267	0.4633	0.52116	305.9
OSES	227	6.3877	870200	0.3487	0.32781	0.39024	303.73
AINS	330	5.4273	843200	0.48476	0.40374	0.52952	294.31
TEST	339	5.0914	839800	0.4059	0.47291	0.43614	293.12
ERED	259	5.2278	821400	0.2879	0.28025	0.29194	286.7
ARTS	419	4.2625	812000	0.43671	0.36601	0.48264	283.42
ENES	236	5.5297	793200	0.28798	0.29146	0.3249	276.86
IRED	342	5.0643	784200	0.37093	0.41515	0.43529	273.72
RANT	300	4.8667	778800	0.43046	0.48106	0.47949	271.83
CANT	148	7.3378	774000	0.45006	0.5	0.48497	270.16
EATS	516	4.2849	768200	0.50146	0.47453	0.54663	268.13
RATES	277	3.509	767400	0.43093	0.49296	0.49946	267.85
DENT	244	5.0574	764200	0.35741	0.43226	0.39156	266.74
REES	299	4.9197	756400	0.275	0.38693	0.33778	264.01
OLES	265	5.5962	751000	0.43577	0.41905	0.48164	262.13
ANTE	326	4.7086	740600	0.51721	0.49844	0.5679	258.5
STAT	163	6.7423	730200	0.5014	0.54412	0.54066	254.87
HING	106	8.6132	726600	0.31414	0.41007	0.36293	253.61
NEST	459	3.6296	711200	0.52667	0.41916	0.50158	248.24
TIRE	458	4.0677	698000	0.58578	0.60635	0.65013	243.63
DATE	265	4.7698	694400	0.5716	0.56477	0.5927	242.37
LETS	293	3.9488	693200	0.36308	0.30189	0.37235	241.95
INTER	220	5.6045	692400	0.53276	0.62687	0.61398	241.68
READ	300	5.0167	685000	0.37168	0.47895	0.43337	239.09
URES	232	4.8534	676400	0.36858	0.37569	0.38171	236.09
RIDE	256	4.9727	675400	0.47012	0.52128	0.53882	235.74
MATE	211	5.1374	673400	0.55581	0.55696	0.58519	235.04
ANTI	299	4.8161	661000	0.35882	0.33058	0.36873	230.72
TERN	382	5.1571	658600	0.49587	0.46237	0.50732	229.88
RETS	533	3.1576	656800	0.41198	0.38647	0.42308	229.25
TILE	294	5.119	656800	0.59603	0.56164	0.61863	229.25
AGES	141	5.6596	655800	0.3942	0.37748	0.40788	228.9
SINE	409	3.3594	655000	0.54106	0.48077	0.55787	228.62
TAIN	351	4.396	649400	0.61811	0.54448	0.64187	226.67
STIE	400	3.7225	641400	0.47699	0.4875	0.50894	223.87
EAST	473	4.241	641200	0.58358	0.53292	0.63406	223.8
CATE	239	4.3766	640600	0.59057	0.59912	0.6153	223.6
SIDE	281	4.6762	636200	0.47087	0.52121	0.50058	222.06
ARSE	469	3.8635	626400	0.53757	0.42326	0.5559	218.64
OUTS	128	6.3516	613200	0.37987	0.35714	0.42801	214.03
SILE	322	4.5528	612200	0.49865	0.47253	0.5082	213.68
TENS	390	3.8308	608800	0.46272	0.48624	0.51465	212.5
MENT	139	6.3309	606600	0.38512	0.33333	0.39024	211.73
HERE	193	5.4456	601000	0.34924	0.39752	0.40559	209.77
TRIN	295	4.9322	599200	0.59733	0.57895	0.60224	209.14
RENT	400	4.2125	592800	0.60538	0.58947	0.62722	206.91
TEAR	440	3.9727	591400	0.64535	0.62667	0.70735	206.42
LANE	291	4.2199	591400	0.44934	0.49738	0.50999	206.42
RANG	141	6.6525	588600	0.41333	0.42222	0.41644	205.45
SALT	188	4.8883	576600	0.48218	0.46281	0.48212	201.26
PINE	137	6.1095	575800	0.39492	0.32571	0.4116	200.98
AILS	201	5.9851	573000	0.48485	0.47867	0.53555	200
REAL	344	4.0465	572200	0.52276	0.41875	0.51568	199.72
PARE	203	5.3251	572200	0.46381	0.44589	0.50257	199.72
RAIL	237	5.9958	568800	0.52808	0.64545	0.59925	198.53
TARS	358	3.2905	567800	0.36902	0.35537	0.38083	198.18
LAND	137	6.3066	550400	0.4459	0.46842	0.48531	192.11
RASE	474	3.5907	542400	0.50359	0.59545	0.56678	189.32
EASE	328	6.6433	542000	0.68763	0.64502	0.71637	189.18
STING	101	7.0891	537200	0.44786	0.45714	0.53161	187.5
TINS	283	3.2898	534600	0.35396	0.33333	0.38552	186.6
HERS	214	4.7336	530200	0.41319	0.43318	0.44912	185.06
ACHE	104	8.4808	528600	0.50844	0.48598	0.48686	184.5
VERS	81	9.284	523400	0.24946	0.26263	0.29616	182.69
SERS	298	3.9799	515600	0.42192	0.50207	0.49424	179.97
ABLE	91	11.066	515000	0.49091	0.49057	0.48494	179.76
RAIS	313	4.1278	513600	0.6128	0.61905	0.60066	179.27
TARE	560	3.5679	511200	0.67098	0.6831	0.73684	178.43
IONS	213	4.6995	507000	0.31429	0.30526	0.30607	176.96
LENT	212	4.8255	506800	0.26617	0.34831	0.28417	176.89
ESTS	232	5.1897	504600	0.3598	0.40741	0.40787	176.13
MINE	156	5.8654	502400	0.49057	0.52518	0.54522	175.36
CHER	121	6.6777	501000	0.35922	0.38194	0.37457	174.87
SHES	140	6.8071	500800	0.36786	0.38235	0.4477	174.8
ARDS	190	5.3895	494200	0.31741	0.37607	0.37793	172.5
LINES	144	3.7708	486600	0.48	0.5	0.50505	169.84
CENT	148	6.3311	484400	0.43717	0.45695	0.45378	169.08
ANCE	147	7.585	482000	0.40094	0.46565	0.42546	168.24
TENT	220	4.8045	475000	0.51832	0.47895	0.53125	165.79
TART	222	4.509	472400	0.5209	0.47879	0.56298	164.89
TAIL	220	4.5409	471400	0.57876	0.58824	0.62267	164.54
ARTI	319	4.6144	468600	0.46575	0.3209	0.48454	163.56
RINS	275	4.1491	467000	0.47906	0.58278	0.53194	163
AMIN	143	7.4126	466800	0.4004	0.47531	0.49706	162.93
LACE	136	5.8162	461000	0.47154	0.5641	0.52353	160.91
SORE	393	3.6794	460800	0.58104	0.53514	0.59524	160.84
CARE	261	4.7548	460200	0.61515	0.6556	0.66638	160.63
GATE	160	4.7812	453400	0.54802	0.54194	0.56955	158.25
ICES	166	4.8976	450000	0.47486	0.45213	0.49708	157.07
AMES	188	5.0585	449800	0.45019	0.38384	0.48358	157
STONE	162	4.4691	448200	0.64337	0.68217	0.61874	156.44
LITES	162	3.1111	447600	0.33333	0.31325	0.34218	156.23
STEN	452	3.6327	445200	0.55743	0.56977	0.57838	155.39
TRON	268	4.9963	444800	0.50493	0.50968	0.51407	155.25
GERS	142	5.8099	443800	0.40381	0.375	0.43714	154.9
ERING	121	5.3306	440600	0.3284	0.38961	0.37385	153.79
HEAR	245	5.5265	440200	0.57236	0.68493	0.67387	153.65
ARIS	383	4.8225	439800	0.37356	0.37168	0.39291	153.51
PIER	149	4.9799	439600	0.37045	0.3956	0.39755	153.44
LAST	242	3.9628	438800	0.56933	0.51471	0.60447	153.16
RAGE	136	5.0515	438600	0.43478	0.4434	0.47874	153.09
MITE	165	4.9091	437000	0.53802	0.51471	0.55279	152.53
ANDS	145	4.7103	423400	0.41209	0.39394	0.45	147.78
DINE	242	3.9835	422200	0.63505	0.69565	0.66543	147.36
SENT	370	3.2622	421400	0.53937	0.56757	0.57576	147.09
ONIE	261	4.4981	419000	0.43939	0.42857	0.41567	146.25
ESTER	241	4.1037	417200	0.56445	0.58065	0.60674	145.62
NITES	153	2.9412	416600	0.35398	0.39286	0.38081	145.41
PART	134	5.5746	414800	0.46198	0.52586	0.52742	144.78
RATS	393	2.8524	412000	0.46003	0.43396	0.48249	143.8
PAST	140	5.6929	409600	0.53553	0.62011	0.59971	142.97
SATE	429	2.8904	409000	0.58769	0.6	0.57722	142.76
LINT	215	4.2512	409000	0.51132	0.50993	0.52766	142.76
RINES	188	3.2979	407800	0.5035	0.6	0.54662	142.34
NETS	307	2.8827	406600	0.41298	0.43697	0.42222	141.92
TALE	323	4.3994	406400	0.65752	0.68116	0.70958	141.85
AIRS	271	3.8118	406200	0.53631	0.51531	0.55767	141.78
ACES	205	4.2439	405200	0.51351	0.51232	0.57286	141.43
ARET	519	3.6069	404400	0.54116	0.54787	0.58969	141.15
TINES	153	2.9216	403600	0.43887	0.42735	0.47837	140.87
RODE	208	4.3846	403200	0.47532	0.44961	0.45701	140.73
SANT	238	3.6555	403200	0.46629	0.39604	0.47419	140.73
SOLE	214	4.2757	400400	0.51776	0.54264	0.55341	139.76
TRES	494	3.1012	399600	0.38364	0.36571	0.41992	139.48
EALE	218	5.1239	399200	0.41594	0.46465	0.47399	139.34
SITE	375	3.0133	395200	0.67033	0.59589	0.67308	137.94
RAND	158	4.057	394200	0.47796	0.40541	0.50194	137.59
RADE	198	4.197	394200	0.38745	0.48333	0.44921	137.59
RITES	185	2.8649	393400	0.39062	0.38372	0.43932	137.31
MISE	169	4.4556	392400	0.52536	0.38298	0.48941	136.96
ODES	219	4.0411	392000	0.47098	0.45082	0.49933	136.82
SCAR	162	6.0123	389800	0.53269	0.50442	0.55556	136.06
CHAR	104	7.8269	386200	0.53348	0.43871	0.55452	134.8
HARE	269	4.5651	385200	0.57041	0.58403	0.61106	134.45
CHIN	85	7.6588	384200	0.30968	0.58824	0.42431	134.1
POST	109	4.7706	381200	0.45932	0.52941	0.47685	133.05
ENDS	197	5.0406	379800	0.56888	0.53039	0.57796	132.57
LATI	182	4	379200	0.3374	0.33333	0.34906	132.36
TIME	159	5.1258	379000	0.60877	0.59124	0.61185	132.29
CORN	115	6.2783	374000	0.45973	0.44355	0.46449	130.54
LARE	316	3.3259	371800	0.59639	0.68333	0.64342	129.77
SPAR	112	5.7589	370600	0.52329	0.52083	0.54659	129.35
LANT	190	3.9526	370600	0.47717	0.53043	0.52065	129.35
HORS	158	5.0949	369400	0.51351	0.51818	0.50933	128.94
HEAT	219	3.8995	369400	0.61522	0.664	0.63793	128.94
TORE	384	3.3958	368600	0.6792	0.75	0.72902	128.66
HORE	145	4.2414	366800	0.45763	0.59292	0.52166	128.03
LINGS	55	6.2909	363600	0.39231	0.41176	0.42633	126.91
LATER	168	3.6607	362600	0.50507	0.49533	0.58608	126.56
NEAR	350	2.9886	362000	0.61454	0.69863	0.62044	126.35
OVER	64	8.5625	361800	0.44478	0.42857	0.46115	126.28
DEAL	228	3.7456	357400	0.50827	0.54651	0.53451	124.75
MING	72	7.7222	357000	0.48869	0.43103	0.52976	124.61
ORTS	347	3.4236	356400	0.51101	0.44974	0.50276	124.4
RACE	177	4.8249	355800	0.51697	0.64789	0.64124	124.19
DEAR	311	3.7395	355800	0.6848	0.69231	0.69401	124.19
RETE	250	3.648	354600	0.37671	0.40278	0.3899	123.77
TEND	233	3.9142	354000	0.54846	0.62308	0.60772	123.56
SURE	155	4.1355	351800	0.44966	0.51471	0.47129	122.79
FORE	94	4.734	350400	0.46465	0.48387	0.46175	122.3
NOSE	318	3.3962	348800	0.65066	0.63571	0.66762	121.75
LOSE	233	4.176	346400	0.54357	0.54229	0.5791	120.91
USES	95	5.7579	346400	0.26582	0.30159	0.34398	120.91
STATE	121	4.8264	346200	0.56545	0.63889	0.61829	120.84
LESS	123	4.7724	345000	0.36402	0.41667	0.37217	120.42
OAST	244	4.2582	344800	0.50297	0.51899	0.53934	120.35
HALE	162	5.0556	342600	0.49265	0.60606	0.56366	119.58
ALTER	131	4.4351	342000	0.52632	0.64583	0.5723	119.37
SIRE	428	3.1051	342000	0.55848	0.66667	0.63211	119.37
OOSE	156	5.6474	339000	0.42536	0.48428	0.48429	118.32
RUST	105	4.8952	339000	0.35316	0.44643	0.40152	118.32
EANS	344	3.8372	338000	0.4708	0.46222	0.53695	117.98
CART	175	5.2743	337600	0.61248	0.69333	0.66365	117.84
TONS	227	3.1189	336200	0.36866	0.36782	0.37861	117.35
UTES	158	3.7658	335400	0.31302	0.34259	0.36364	117.07
PING	58	9.3966	335000	0.46761	0.47059	0.50299	116.93
PORT	104	6.1538	334600	0.45619	0.56757	0.50638	116.79
SORT	300	3.8433	334000	0.63636	0.69444	0.63229	116.58
LEAT	250	3.368	333800	0.56667	0.46296	0.60568	116.51
TRAIN	155	4.5226	333200	0.64265	0.5	0.66996	116.3
CASE	188	3.2819	333000	0.48466	0.55556	0.48148	116.23
SEAT	352	2.9801	330200	0.67822	0.65497	0.71501	115.25
RAIT	306	3.4085	329000	0.61486	0.44604	0.60773	114.83
RAPE	141	5.3759	327800	0.50392	0.5597	0.58959	114.42
ROST	283	3.318	324400	0.56395	0.56757	0.60088	113.23
ROTE	357	2.8123	321800	0.69489	0.6391	0.68609	112.32
SIES	201	3.7811	321400	0.33198	0.33962	0.34328	112.18
APER	146	5.3493	320600	0.42402	0.47399	0.4867	111.9
SHIN	130	5.7385	320600	0.49667	0.57353	0.55882	111.9
LEST	256	3.082	320200	0.4381	0.44444	0.4693	111.76
RATED	133	3.2105	320000	0.44224	0.39474	0.49215	111.69
SPIN	98	6.2245	319600	0.39013	0.42254	0.43445	111.55
LUTE	103	6.2718	319400	0.39636	0.40506	0.42757	111.48
SOLA	183	4.6557	317800	0.46237	0.57895	0.46305	110.92
CAST	188	4.2713	315400	0.68364	0.6686	0.70865	110.09
ANIS	360	3.6278	315400	0.41304	0.30986	0.41127	110.09
TANE	263	3.0646	310400	0.51596	0.5935	0.57026	108.34
TELL	103	5.4272	310200	0.52507	0.59615	0.54943	108.27
REAR	229	3.6288	309800	0.49425	0.48276	0.51367	108.13
NAIL	209	4.3923	309600	0.58025	0.63636	0.62562	108.06
SEAL	261	2.9655	309200	0.6472	0.63725	0.64736	107.92
MART	136	4.6103	308800	0.47126	0.58654	0.55408	107.78
WING	37	11.892	308800	0.44935	0.53521	0.45763	107.78
RIAL	222	4.3514	307800	0.43784	0.37037	0.41192	107.43
SHED	115	5.8348	307000	0.42683	0.46667	0.44755	107.16
LEAR	275	4.0945	305400	0.6675	0.66837	0.72984	106.6
LEAS	271	3.8524	305000	0.64977	0.75419	0.70127	106.46
ORAL	213	4.5446	304400	0.48974	0.59091	0.50881	106.25
SERE	302	3.0265	304200	0.4597	0.56436	0.52399	106.18
UNDE	83	5.7952	303800	0.41971	0.5	0.44379	106.04
LATED	109	3.8716	303800	0.43598	0.51852	0.48158	106.04
AGER	142	5.0704	301800	0.51899	0.45238	0.54911	105.34
NINE	187	3.7754	300600	0.58284	0.5625	0.59667	104.92
NATES	145	2.9724	299400	0.3981	0.46341	0.4216	104.5
HONE	168	4.7381	298600	0.5663	0.69333	0.59652	104.22
REAM	182	4.3516	297600	0.56233	0.59574	0.59542	103.87
TINGS	71	6.0563	297400	0.49067	0.58716	0.55366	103.8
REED	191	4.1309	297200	0.42796	0.61538	0.5269	103.73
HOSE	226	4.2876	295800	0.54972	0.57759	0.57644	103.25
LADE	214	4.5234	290600	0.61043	0.51111	0.62219	101.43
CONS	116	3.8966	288800	0.30769	0.30769	0.3	100.8
TRIE	370	3.5351	287200	0.64578	0.66957	0.67845	100.24
ENTER	141	4.4113	287000	0.55747	0.61832	0.61458	100.17
ROOT	121	3.9835	285800	0.54737	0.55556	0.56608	99.756
DITE	195	3.1897	282800	0.61429	0.5977	0.60765	98.709
GENT	115	4.7478	282600	0.41364	0.37681	0.43917	98.639
PEAR	150	4.4933	282400	0.53919	0.6	0.59165	98.569
TAPE	125	5.192	282200	0.52632	0.60938	0.58185	98.499
TEEN	201	4.1542	281800	0.44706	0.59596	0.55703	98.36
MORE	162	3.5988	281800	0.51562	0.54667	0.53731	98.36
LAIN	203	3.3202	280800	0.36164	0.39655	0.41928	98.01
RONES	169	3.2367	280200	0.42517	0.6129	0.5311	97.801
MIST	132	4.0076	279000	0.51698	0.47059	0.54062	97.382
PATE	158	4.9177	278200	0.62282	0.61616	0.66667	97.103
EARN	290	3.8103	277400	0.56557	0.61429	0.63572	96.824
TANG	135	4.9481	276800	0.53634	0.51678	0.57803	96.614
CORE	195	3.7641	276400	0.61895	0.61157	0.67647	96.475
BASE	124	4.1613	276000	0.47841	0.40909	0.5	96.335
DENS	200	3.145	273600	0.49045	0.5	0.5262	95.497
HOST	154	3.4221	271000	0.50704	0.33333	0.48421	94.59
ARCH	87	6.2874	269800	0.45312	0.41667	0.46254	94.171
APES	140	4.5786	266800	0.48417	0.5	0.55051	93.124
MOTE	131	5.1145	266600	0.46667	0.55147	0.50624	93.054
OATS	242	3.0248	264600	0.51461	0.59155	0.54779	92.356
EATER	201	4.0796	264400	0.66607	0.64844	0.73264	92.286
TORT	168	4.9821	264000	0.62121	0.63158	0.64259	92.147
AMEN	163	5.3865	263400	0.54369	0.55556	0.55758	91.937
HAST	187	4.1016	261400	0.6055	0.65714	0.65188	91.239
ONERS	154	3.4935	261400	0.48744	0.55224	0.57884	91.239
SANE	358	3.081	260800	0.69231	0.60993	0.70721	91.03
SALE	280	2.9893	259600	0.58429	0.66667	0.62519	90.611
OOTS	126	4.8492	257800	0.42801	0.45455	0.49564	89.983
SEAR	364	2.9753	257800	0.76066	0.75424	0.77764	89.983
CINE	157	3.1465	256800	0.53107	0.57143	0.52614	89.634
NESS	131	3.9008	256400	0.32237	0.27778	0.32065	89.494
RAINE	167	3.5689	255400	0.61671	0.61728	0.69355	89.145
ITHER	95	5.2316	255400	0.4023	0.41333	0.40777	89.145
ALINE	156	3.9551	254800	0.70096	0.7439	0.6887	88.935
TATES	98	3.2041	254200	0.47032	0.48529	0.51903	88.726
TONES	147	3.0204	253200	0.5814	0.71429	0.63753	88.377
STIR	343	3.5539	248800	0.65424	0.66412	0.67738	86.841
COST	132	4.9394	247000	0.67857	0.74627	0.67837	86.213
MAIN	138	4.1667	246200	0.56433	0.47872	0.60533	85.934
LAIR	187	3.4706	246000	0.49338	0.44118	0.50895	85.864
OONS	112	4.7143	245800	0.39835	0.41228	0.46331	85.794
RISES	98	3.6633	245600	0.41714	0.4	0.43939	85.724
EARED	142	4.2535	244800	0.56398	0.51695	0.62635	85.445
RILL	66	6.3788	241800	0.46774	0.65385	0.50442	84.398
TOLE	189	3.6508	239000	0.62077	0.63115	0.64448	83.421
DORE	215	3.1767	238000	0.57995	0.57843	0.61538	83.072
STERN	193	3.601	237400	0.46875	0.51389	0.48562	82.862
RANTS	134	2.9328	236200	0.43373	0.54412	0.5	82.443
CANE	182	3.8132	236200	0.56279	0.59615	0.63589	82.443
REDE	191	3.7958	234000	0.47388	0.56977	0.5	81.675
THIN	134	3.903	232600	0.61468	0.53571	0.53943	81.187
TALL	80	5.175	232400	0.56268	0.42553	0.57294	81.117
ROUT	100	5.83	232200	0.58355	0.60204	0.6551	81.047
SETS	236	2.822	232000	0.45247	0.36735	0.47075	80.977
ICER	152	3.9803	231000	0.54985	0.50505	0.57018	80.628
HORN	108	4.8704	229400	0.47449	0.40698	0.50909	80.07
SIGN	136	5.1544	228000	0.54255	0.45312	0.47253	79.581
SENS	253	3.3953	227600	0.52439	0.43421	0.48469	79.442
TAME	164	4.0183	227000	0.67327	0.63793	0.682	79.232
AILED	104	4.8654	226400	0.55278	0.47423	0.62299	79.023
LEAD	151	3.3179	226400	0.59843	0.59804	0.61867	79.023
REIN	369	2.9214	225600	0.6259	0.59091	0.60212	78.743
DORS	138	3.9638	224400	0.52459	0.57971	0.57778	78.325
MAST	125	3.304	223600	0.59426	0.6044	0.61789	78.045
GEST	134	4.1716	223400	0.36318	0.55556	0.372	77.976
TRAT	196	3.1735	222400	0.46012	0.30233	0.4685	77.627
TEAD	209	3.6316	222400	0.65546	0.54167	0.64397	77.627
ROLL	50	5.92	222200	0.37705	0.44444	0.42623	77.557
RINGS	66	4.6818	220400	0.53184	0.47826	0.57823	76.928
ROLE	160	3.2625	220000	0.55263	0.58462	0.55499	76.789
USER	174	3.7701	219600	0.46452	0.53763	0.5036	76.649
AITS	313	2.8403	219000	0.6	0.43796	0.60145	76.44
POSE	117	4	218800	0.59885	0.52381	0.63507	76.37
RAINS	123	3.1789	218400	0.52581	0.53226	0.6119	76.23
OURS	95	4.7474	218200	0.52	0.475	0.55376	76.161
SELL	106	4.0849	218000	0.40588	0.41026	0.47703	76.091
RICE	134	4.7388	217200	0.46358	0.68852	0.57143	75.812
CORS	120	3.8583	216400	0.62925	0.5303	0.61478	75.532
HOLE	111	4.1081	216400	0.48969	0.46429	0.48814	75.532
PIES	100	3.33	214600	0.42	0.4	0.425	74.904
ACER	176	4.1023	214400	0.63578	0.55556	0.68136	74.834
PALE	112	5.0714	213800	0.59277	0.51969	0.60922	74.625
TASE	427	2.8735	213600	0.82837	0.77019	0.84156	74.555
AVER	72	7.3611	212800	0.44444	0.53488	0.54911	74.276
DATES	89	2.5843	210600	0.43949	0.42857	0.45596	73.508
PENT	89	3.9663	210200	0.47647	0.66667	0.51282	73.368
BATE	109	3.8165	210000	0.55016	0.60256	0.60556	73.298
EATH	217	4.3917	209400	0.36885	0.39583	0.39672	73.089
UNDER	55	5.0909	209400	0.4152	0.49206	0.46919	73.089
BORE	86	4.814	209000	0.45928	0.5	0.47941	72.949
SERA	545	3.1211	208800	0.35593	0.48315	0.41987	72.88
TENE	173	3.4104	208600	0.56877	0.57143	0.59137	72.81
STARE	249	2.7028	208200	0.73423	0.75556	0.7699	72.67
TEAL	260	3.4654	207600	0.67725	0.68182	0.75378	72.461
LEAN	240	3.3125	206000	0.62376	0.56881	0.66485	71.902
SAIL	173	3.3179	205000	0.70349	0.67568	0.69773	71.553
HEAD	99	4.1111	204800	0.5124	0.38462	0.51282	71.483
HIES	133	3.2481	204600	0.39024	0.3871	0.40942	71.414
AIDE	235	3.6553	202400	0.7247	0.72222	0.74286	70.646
MANS	105	3.9524	201600	0.35676	0.35714	0.368	70.366
TOIL	142	4.7465	201200	0.70391	0.7619	0.7362	70.227
STERE	151	2.8212	200400	0.50376	0.62069	0.536	69.948
STEAR	211	3.1232	200200	0.74055	0.74766	0.77481	69.878
LORE	191	2.8325	200200	0.64688	0.5463	0.65101	69.878
RAST	251	2.6972	200000	0.5663	0.62637	0.60832	69.808
REEN	211	3.4123	200000	0.47718	0.63107	0.57407	69.808
TANS	161	2.6273	199200	0.42236	0.48387	0.43096	69.529
CADE	118	3.5254	198000	0.51969	0.47368	0.54655	69.11
LIME	96	4.8646	197800	0.48675	0.53846	0.56198	69.04
HAIR	133	3.9925	197200	0.50279	0.55	0.51613	68.831
ERNS	282	3.3014	197000	0.45513	0.41732	0.48919	68.761
ULES	129	3.8295	196400	0.34545	0.34247	0.3617	68.551
GIES	96	3.9688	195800	0.34848	0.375	0.34239	68.342
TRAP	128	4.8359	195400	0.63768	0.4902	0.59104	68.202
TRAD	171	4.0819	194600	0.59906	0.71186	0.61637	67.923
ITCH	74	6.1622	194400	0.42105	0.35556	0.44061	67.853
ERNE	263	4.2129	194400	0.3641	0.51685	0.42151	67.853
RAISE	185	3.4054	193400	0.69355	0.81667	0.72834	67.504
RATER	163	2.9264	193400	0.59937	0.66019	0.65574	67.504
ACED	103	3.7476	193200	0.54508	0.44118	0.5289	67.435
CITE	173	3.8786	193000	0.72248	0.73171	0.75696	67.365
HIST	152	2.9671	191600	0.46328	0.55556	0.5	66.876
MATES	70	2.7429	191400	0.42	0.46667	0.43605	66.806
LAME	114	4.4386	190600	0.59226	0.65957	0.63789	66.527
OWER	69	6.5072	190400	0.55814	0.60185	0.60705	66.457
TINT	172	4.1977	189800	0.67506	0.73333	0.72474	66.248
CODE	90	4.6667	189400	0.5641	0.70732	0.61561	66.108
RANGE	61	4.4918	189200	0.5	0.5	0.51163	66.038
KING	21	12.095	188400	0.4381	0.24324	0.43779	65.759
NARE	365	2.9753	186800	0.63562	0.69792	0.65747	65.201
ARLE	217	3.6682	186400	0.61027	0.49351	0.58824	65.061
LASE	289	3.0865	185800	0.77005	0.80328	0.80107	64.852
ERAS	483	3.0476	185400	0.43966	0.625	0.56709	64.712
TORI	210	3.219	185400	0.56571	0.51852	0.55094	64.712
BAND	53	5.1698	185200	0.42584	0.51724	0.48458	64.642
TICE	129	3.3566	185000	0.61991	0.66176	0.61565	64.572
LINS	138	2.6377	184400	0.4	0.43333	0.43719	64.363
SLAT	214	4.1636	181800	0.73684	0.74286	0.79035	63.455
RIVE	48	6.9167	181600	0.4125	0.7	0.47451	63.386
ANTA	159	4.1132	181400	0.47186	0.51852	0.46512	63.316
NEAT	325	2.9292	181400	0.68914	0.6875	0.68271	63.316
HIRE	199	3.799	180200	0.6411	0.68333	0.7078	62.897
TITE	129	3.186	179800	0.65842	0.60976	0.65559	62.757
CONE	132	3.4697	179800	0.56169	0.55882	0.62368	62.757
COAT	119	5.1345	179600	0.66452	0.68085	0.70588	62.688
TRINE	176	3.2841	179000	0.70333	0.72941	0.74217	62.478
ENDER	104	5.125	179000	0.72674	0.74	0.76674	62.478
FINE	85	4.6706	178400	0.583	0.85366	0.65385	62.269
TELE	132	3.5455	177400	0.55556	0.76596	0.58451	61.92
MANI	115	4.1565	176400	0.42727	0.44118	0.40741	61.571
